var,prefix,LR_sum,Qs_sum,bayes_factor
wetland_combine,USUV_C_conduct,100,74,1.3256
lake_river_reservoir,USUV_C_conduct,100,50,0.8868
bird_richness,USUV_C_conduct,100,62,2.5714
popcount,USUV_D_conduct,100,33,0.9231
GDP,USUV_D_conduct,99,29,1
unifre,USUV_D_conduct,100,41,8.0909
gcrop,USUV_D_conduct,100,93,3
gpast,USUV_D_conduct,100,37,0.5152
gurbn,USUV_D_conduct,100,85,1.2222
gpri,USUV_D_conduct,100,47,0.7241
gsecd,USUV_D_conduct,100,35,0.9608
gflcu,USUV_D_conduct,100,86,1.2222
gflpu,USUV_D_conduct,100,75,1.381
gflvu,USUV_D_conduct,100,0,1
gflsu,USUV_D_conduct,100,75,0.7857
cul_veg,USUV_D_conduct,100,76,4.2632
her_veg,USUV_D_conduct,60,6,0.2195
flood_veg,USUV_D_conduct,100,70,1.6316
Deciduous_broad,USUV_D_conduct,86,18,0.5625
Evergreen_broad,USUV_D_conduct,100,3,0.8519
Needle,USUV_D_conduct,100,34,2.7037
Mixed,USUV_D_conduct,70,12,0.6949
Shrubs,USUV_D_conduct,100,4,0.3333
open_water,USUV_D_conduct,95,9,0.4706
elevation,USUV_D_conduct,47,14,0.5625
chicken,USUV_D_conduct,97,40,3.3478
duck,USUV_D_conduct,94,18,1.7778
meat,USUV_D_conduct,100,22,0.9231
Flyway_Apod,USUV_D_conduct,100,0,0.1236
mamms,USUV_D_conduct,100,20,0.9608
wetland_new,USUV_D_conduct,100,11,0.2346
livestock,USUV_D_conduct,100,54,2.4483
Flyway_Ans,USUV_D_conduct,100,93,3.3478
Flyway_Pas,USUV_D_conduct,100,91,7.3333
wetland_combine,USUV_D_conduct,100,33,0.5873
lake_river_reservoir,USUV_D_conduct,100,52,1.1739
