node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
23,1,30.92154515467,42.0984756003652,1.51499988471483,43.5939088,4.4689834,30.92154515467,0,1984.79219850741,2015.71374366208,36405000
23,24,4.067510958539,42.0984756003652,1.51499988471483,42.2832252320762,2.75580204721093,4.067510958539,0,1984.79219850741,1988.85970946595,36405000
24,25,10.8752180742,42.2832252320762,2.75580204721093,42.4709906061537,0.121693971699843,14.942729032739,4.067510958539,1988.85970946595,1999.73492754015,36405000
24,2,27.67002858478,42.2832252320762,2.75580204721093,43.6108535,3.8761323,31.737539543319,4.067510958539,1988.85970946595,2016.52973805073,36405000
25,26,2.639411466855,42.4709906061537,0.121693971699843,44.9946741736671,3.28865839751127,17.582140499594,14.942729032739,1999.73492754015,2002.37433900701,36405000
25,22,6.903428624232,42.4709906061537,0.121693971699843,41.3154689,2.0130559,21.846157656971,14.942729032739,1999.73492754015,2006.63835616438,36405000
26,27,5.69738749009,44.9946741736671,3.28865839751127,48.2516053746885,7.6934276373157,23.279527989684,17.582140499594,2002.37433900701,2008.0717264971,36405000
26,43,9.491755251538,44.9946741736671,3.28865839751127,44.4561549783808,2.31923819134907,27.073895751132,17.582140499594,2002.37433900701,2011.86609425855,36405000
27,3,7.654300900163,48.2516053746885,7.6934276373157,45.7351456,4.6108043,30.933828889847,23.279527989684,2008.0717264971,2015.72602739726,36405000
27,28,2.351929272903,48.2516053746885,7.6934276373157,50.0739652889959,11.4263985728986,25.631457262587,23.279527989684,2008.0717264971,2010.42365577,36405000
28,29,5.407404685937,50.0739652889959,11.4263985728986,50.9384418278609,11.8052792888384,31.038861948524,25.631457262587,2010.42365577,2015.83106045594,36405000
28,30,2.569642943368,50.0739652889959,11.4263985728986,51.3628730228279,13.5492237697161,28.201100205955,25.631457262587,2010.42365577,2012.99329871337,36405000
29,4,0.8161818745762,50.9384418278609,11.8052792888384,51.4953567,11.9662371,31.8550438231002,31.038861948524,2015.83106045594,2016.64724233051,36405000
29,5,1.352874229788,50.9384418278609,11.8052792888384,51.3396955,12.3730747,32.391736178312,31.038861948524,2015.83106045594,2017.18393468573,36405000
30,31,0.1849629074557,51.3628730228279,13.5492237697161,51.584616004158,13.5779632759856,28.3860631134107,28.201100205955,2012.99329871337,2013.17826162082,36405000
30,35,0.001668488828139,51.3628730228279,13.5492237697161,51.3222979878801,13.4787951496143,28.2027686947831,28.201100205955,2012.99329871337,2012.9949672022,36405000
31,6,3.713874383312,51.584616004158,13.5779632759856,51.165691,10.451526,32.0999374967227,28.3860631134107,2013.17826162082,2016.89213600414,36405000
31,32,1.589074952244,51.584616004158,13.5779632759856,52.1830663832835,13.194500216908,29.9751380656547,28.3860631134107,2013.17826162082,2014.76733657307,36405000
32,33,0.6469730593875,52.1830663832835,13.194500216908,52.1930227706002,13.3203812138958,30.6221111250422,29.9751380656547,2014.76733657307,2015.41430963246,36405000
32,10,0.8847182214529,52.1830663832835,13.194500216908,52.5200066,13.404954,30.8598562871076,29.9751380656547,2014.76733657307,2015.65205479452,36405000
33,9,0.7001753370076,52.1930227706002,13.3203812138958,51.3396955,12.3730747,31.3222864620498,30.6221111250422,2015.41430963246,2016.11448496946,36405000
33,34,1.434242934108,52.1930227706002,13.3203812138958,52.1713681203779,12.9357378113871,32.0563540591502,30.6221111250422,2015.41430963246,2016.84855256656,36405000
34,8,0.441285856968,52.1713681203779,12.9357378113871,52.5200066,13.404954,32.4976399161182,32.0563540591502,2016.84855256656,2017.28983842353,36405000
34,7,1.259367896568,52.1713681203779,12.9357378113871,51.3396955,12.3730747,33.3157219557182,32.0563540591502,2016.84855256656,2018.10792046313,36405000
35,11,3.737273234962,51.3222979878801,13.4787951496143,51.165691,10.451526,31.9400419297451,28.2027686947831,2012.9949672022,2016.73224043716,36405000
35,36,1.386654387525,51.3222979878801,13.4787951496143,52.1935237957251,15.4799643728938,29.5894230823081,28.2027686947831,2012.9949672022,2014.38162158972,36405000
36,37,5.385279952123,52.1935237957251,15.4799643728938,52.3794852544296,14.2819283540976,34.9747030344311,29.5894230823081,2014.38162158972,2019.76690154184,36405000
36,40,5.665009902643,52.1935237957251,15.4799643728938,51.2488144267701,19.1152621433342,35.2544329849511,29.5894230823081,2014.38162158972,2020.04663149236,36405000
37,38,0.8191604694702,52.3794852544296,14.2819283540976,52.4323427517264,14.7398734606296,35.7938635039013,34.9747030344311,2019.76690154184,2020.58606201131,36405000
37,12,4.04953681432,52.3794852544296,14.2819283540976,53.0997614,16.2007745,39.0242398487511,34.9747030344311,2019.76690154184,2023.81643835616,36405000
38,13,3.104348947589,52.4323427517264,14.7398734606296,53.0997614,16.2007745,38.8982124514903,35.7938635039013,2020.58606201131,2023.6904109589,36405000
38,39,3.122767615088,52.4323427517264,14.7398734606296,54.352825322912,19.3762553481689,38.9166311189893,35.7938635039013,2020.58606201131,2023.7088296264,36405000
39,15,0.03089640099433,54.352825322912,19.3762553481689,54.3799913,19.4441407,38.9475275199837,38.9166311189893,2023.7088296264,2023.7397260274,36405000
39,14,0.1350059900355,54.352825322912,19.3762553481689,54.3799913,19.4441407,39.0516371090248,38.9166311189893,2023.7088296264,2023.84383561644,36405000
40,41,3.48375593212,51.2488144267701,19.1152621433342,52.1374725354882,21.8862070045698,38.7381889170711,35.2544329849511,2020.04663149236,2023.53038742448,36405000
40,42,2.326666635874,51.2488144267701,19.1152621433342,50.5213227528881,21.0578426189478,37.5810996208251,35.2544329849511,2020.04663149236,2022.37329812824,36405000
