state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(lineage_level0_A)	tmrca(lineage_level0_B)	tmrca(lineage_level0_C)	tmrca(lineage_level0_D)	tmrca(lineage_level0_E)	tmrca(lineage_level0_F)	tmrca(lineage_level0_G)	age(lineage_level0_A)	age(lineage_level0_B)	age(lineage_level0_C)	age(lineage_level0_D)	age(lineage_level0_E)	age(lineage_level0_F)	age(lineage_level0_G)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(KU573070|216606/2013|culex_pipiens|IT|2013)	age(KX816647|208576-8/2011|culex_pipiens|IT|2011-08)	age(KX816651|211204-8/2012|culex_pipiens|IT|2012-08)	age(KX816650|211984-4/2012|culex_pipiens|IT|2012-08)	age(KU573075|201602-24/2014|culex_pipiens|IT|2014)	age(KX816652|211204-7/2012|culex_pipiens|IT|2012-08)	age(ON032479|ITA2010_12543|turdus_merula|IT|2010)	age(KX555625|NA|turdus_merula|IT|2010)	age(KX555627|NA|turdus_merula|IT|2010)	age(KX555628|NA|turdus_merula|IT|2010)	age(KU573072|221034-3/2013|culex_pipiens|IT|2013)	age(JF266698|NA|turdus_merula|IT|2009)	age(EF206350|Budapest|turdus_merula|HU|2005)	age(AY453411|NA|NA|AT|2001)	age(MT784898|NA|turdus_iliacus|IT|2017)	age(MT784899|NA|turdus_merula|IT|2017)	age(ON032485|ITA2021_302331|turdus_merula|IT|2021)	age(ON032474|ITA2020_115108|culex_pipiens|IT|2020)	age(ON032476|ITA2020_155885|turdus_merula|IT|2020)	age(ON032486|ITA2021_310782|turdus_merula|IT|2021)	age(KX977447|NA|turdus_merula|BE|2016-09)	age(MK230890|Villers/2017|turdus_merula|BE|2017-08)	age(KY263624|NA|turdus_merula|BE|2016-10)	age(KY199558|NA|turdus_merula|DE|2016)	age(MK230892|Richelle/2017|turdus_merula|BE|2017-08)	age(MT580899|NA|strix_nebulosa|DE|2018)	age(KX816653|206795-3/2012|culex_pipiens|IT|2012-09)	age(KU573073|229615-1/2013|culex_pipiens|IT|2013)	age(KX555629|NA|turdus_merula|IT|2015)	age(MG888044|NA|culex_pipiens|RS|2014-08)	age(KC754957|ArD192495|culex_neavei|SN|2007)	age(MN813491|UG09615|culex_univittatus|UG|2012)	age(KC754955|HB81P08|homo_sapiens|CF|1981)	age(KC754956|ArD101291|culex_univittatus|SN|1993)	age(ON813227|SN2005_ArD_171185|culex_neavei|SN|2005)	age(MN813492|SARR1776|culex_neavei|ZA|1959)	age(MN813488|DakPM173701|culex_neavei|SN|2003)	age(KC754954|ArD19848|culex_perfuscus|SN|1974)	age(KX268472|HU10279_09|culex_perexiguus|ES|2009)	age(MN813489|HU10279-09|culex_perexiguus|ES|2009)	age(KY199556|NA|strix_nebulosa|DE|2016)	age(KY294723|S-1238|turdus_merula|DE|2016)	age(KY294722|S-1232|turdus_merula|DE|2016)	age(KY199557|NA|turdus_merula|DE|2016)	age(MK419834|USU-BE-Scoter/2018|melanitta_nigra|BE|2018-08)	age(PQ041659|USUV_TM_Netherlands_2016|NA|NL|2020)	age(OM202464|Greater_London_2021|turdus_merula|UK|2021-09)	age(MW001216|NA|turdus_merula|UK|2020-07)	age(NA|Blackbird_London_2022_b|turdus_merula|UK|2022-09)	age(NA|Blackbird_London_2022_a|turdus_merula|UK|2022-09)	age(NA|Blackbird_Cambridgeshire_2023_a|turdus_merula|UK|2023-08)	age(NA|AS201600289_BEC009|strix_nebulosa|NL|2016)	age(KY128482|Snebulosa-6004/NL/2016|strix_nebulosa|NL|2016-09)	age(KY263625|NA|turdus_merula|BE|2016-10)	age(MK230891|Seraing/2017|turdus_merula|BE|2017-08)	age(ON755215|Turdusmerula13_feather_3W1L_Day0|turdus_merula|NL|2016)	age(OU674388|NA|turdus_merula|LU|2020-09)	age(ON755209|Turdusmerula14_feather_WLC_Day43|turdus_merula|NL|2016)	age(ON755217|Turdusmerula15_feather_WLC_Day0|turdus_merula|NL|2016)	age(ON755210|Turdusmerula17_feather_WLC_Day43|turdus_merula|NL|2016)	age(ON755211|Turdusmerula19_feather_WLC_Day43|turdus_merula|NL|2016)	age(ON755221|Turdusmerula20_feather_WLC_Day0|turdus_merula|NL|2016)	age(ON755219|Turdusmerula18_feather_WLC_Day0|turdus_merula|NL|2016)	age(ON813235|ITA2021_300240|turdus_merula|IT|2021)	age(KU573074|245735-8/2013|culex_pipiens|IT|2013)	age(ON813229|SN2005_ArD_173133|culex_neavei|SN|2005)	age(KX816646|200092/2010|turdus_merula|IT|2010-08)	age(ON813225|SN2013_260237|culex_neavei|SN|2013)	age(ON813220|SN2016_286066|culex_neavei|SN|2016)	age(ON813224|SN2016_286099|culex_poicilipes|SN|2016)	age(ON813223|SN2016_286125|culex_neavei|SN|2016)	age(ON813222|SN2016_288158|culex_neavei|SN|2016)	age(ON813221|SN2016_288129|culex_neavei|SN|2016)	age(ON813236|305920/2021|culex_pipiens|IT|2021)	treeLikelihood	branchRates	coalescent
225000	-72724.99647681575	-9843.260239728508	-62881.73623708724	124.55174113135419	1900.2269473932358	2354.1376945773677	32.567882594904354	16.8533388480399	43.29409802210698	20.466120906827356	25.96694881533466	34.08221974537986	52.66674761274855	1992.2108059296856	2007.9253496765502	1981.4845905024831	2004.3125676177626	1998.8117397092553	1990.6964687792101	1972.1119409118414	177.96046406167906	15.248051947066664	21.332336336961657	0.23810748523209013	0.25162513402056097	0.24414417319653087	0.26612320755081614	0.0034269862510673877	1.298781706719798	0.3420298933275717	2.3159402133448794	3.1447915506965405E-4	1.7188045291689194E-4	2.7507825590815556E-4	0.4803231628005752	0.00298425550909646	11.011017660851431	13.118740292408862	12.193039831807654	12.167927004189114	10.659481267874751	12.11552642554922	14.52451945420582	14.700756013704266	14.446598150064338	14.264857412565096	11.24510032390413	15.330549325745762	18.949286466984574	23.7000937410187	6.8439548134112895	7.658836398706616	3.645141697648202	4.036436488183522	4.173567193967363	3.6681105784195536	8.099052344347339	7.146896670728294	8.001109314231703	8.398482270949748	7.118857514697888	5.7913216237955245	12.093719595178358	11.445659484416637	9.270130617054932	10.170861399376115	17.459635784809095	12.300562659801042	42.89209413486716	31.347904071464118	19.740643576961627	65.29637617914884	21.701539070120287	49.811786492489155	14.893678708604893	15.092379574011005	8.603114313216738	7.850893750689913	8.368186576294733	8.123242421706026	6.172279463302861	4.713597300564045	3.0625004073525997	4.207599721030714	2.058912909647437	2.0978805537281473	1.1463300136452295	8.461880162661751	8.095026025542841	7.986188985422061	7.12148620467847	8.750254848946373	4.101150154426672	7.847359799139794	8.267804526701827	7.924674712912642	8.658665246654953	8.001182557978076	8.338771540659103	3.3924634047711546	11.692058997994737	19.68731464685897	14.14701225893952	11.35901518205839	8.033648319492034	8.589722823538088	8.199009750384642	8.091985640821044	8.504155215245936	3.330871180975975	-62881.73623708724	-6781.3598826994175	-3040.484710140801
450000	-72716.55988324125	-9870.628010804907	-62845.93187243634	116.50542885296309	1908.2732596716269	2334.8456115475506	28.429511712863185	17.69016338572986	43.337639699743825	20.649246161490783	33.00426433276693	35.86415528903225	50.44895166888733	1996.349176811727	2007.0885251388602	1981.4410488248461	2004.1294423630993	1991.774424191823	1988.9145332355579	1974.3297368557028	167.56873441008545	16.847765726189113	22.49026950443314	0.2336583397589056	0.2463442842301656	0.25026657846326417	0.26973079754766294	0.054796962850950114	1.4296353407810378	0.32576643293173496	2.3484671341365524	3.114652039962208E-4	1.6652633305749574E-4	2.8320757315006495E-4	0.49769701044640074	0.005183741401193144	11.341259670897054	13.151835250066398	12.174395264881074	12.17810544036986	10.581535946922196	12.13485789475214	14.592873802540636	13.992434569153506	14.312392995161208	14.006197128408736	11.00943845941482	15.220220295932764	19.575021038313793	23.018872302500796	7.264034726572332	7.439575833043273	2.8284935779301046	4.593336540381124	4.362594991505305	2.9862697482066958	8.067244020370792	7.12624119359383	8.01720824058982	8.112206911217232	7.155975046066851	6.344792426149615	12.058406988030283	10.86110738047343	9.084552413790965	10.190020479216665	17.439496335176873	12.365320186040929	43.26337677739513	30.889640229513592	19.535572276678607	65.50663954386846	21.684752907688363	50.11371681615283	15.529403404420487	15.03304085336353	8.057649750364986	8.45478563266246	8.062300157308053	7.9001894827779084	6.196027228921619	4.4843838093916695	3.05822438319985	4.22864474821876	2.030561734823706	2.07987943293868	1.189445282711618	8.087520633431037	8.053894785226458	7.988339972419849	7.1334202977790175	8.276607976913153	4.091926545957365	7.8136023972312225	8.537124674227172	7.851743508546836	8.352007159959607	7.804156545270064	8.3096562890422	3.4391589135966694	11.703100294344523	19.01899221031245	14.159202522370757	10.96827811829048	7.992853535649869	7.832249443702407	8.758843778919983	8.370271341805987	8.66356734146899	3.437444381494365	-62845.93187243634	-6781.3598826994175	-3067.281791082279
675000	-72690.37320222968	-9847.517784376012	-62842.855417853665	132.69653321278025	1892.0821553118099	2323.0340819994817	30.01806897235439	17.916129495312255	46.45448797082804	20.65367853177521	28.823518214916707	36.436241782061174	50.637420875372605	1994.7606195522358	2006.8625590292777	1978.324200553762	2004.1250099928147	1995.9551703096733	1988.3424467425289	1974.1412676492175	186.57050261771258	17.253053392243586	23.812644345601598	0.235473454395191	0.24770289730035255	0.24741811434209654	0.2694055339623581	0.0068267736287841	1.4587233058549067	0.3414280864425069	2.317143827115002	3.275661341016287E-4	1.9933392716680568E-4	2.926821557447511E-4	0.6140834691419861	-0.033603805630115904	11.712866107420647	13.158641337165864	12.140889704756377	12.121713041115651	10.409460141876005	12.17607202564887	14.032023818320505	13.905602939686206	14.687802586391948	13.910788095384289	11.71765201724254	14.993479586551125	18.826735800694177	23.00629841975354	6.934460556175006	7.385647172202856	3.7485118452415858	4.317637267606894	4.392758704534137	2.8797197933481606	8.088996624273888	7.178559962117596	7.961930302607579	8.003790218402372	7.161391530036863	6.719478391271021	12.099415175344994	11.560672542646877	9.138439362885787	10.14903799103113	16.78460403536146	11.788669233035499	43.17773897854413	31.015292315570726	19.277136651537024	65.20471743886381	21.200250780276445	50.53045922789948	14.939232465383329	15.225341171178075	7.990900927425014	7.884839743686422	8.34104965531515	8.066085233386993	6.150332426756353	4.226672658283253	3.054117514139183	4.202913410080223	2.0884366678689372	2.0374872745489663	1.144522172813651	7.8880255864632325	8.085818755537016	7.9843321155613785	7.116162025745014	8.548615272083335	4.085630712859146	7.821182158773565	8.060285356105577	8.382969224836083	8.664767748294588	8.129063582239036	7.97761808366933	3.679572359156167	11.563898469772566	19.71539651772447	14.159373408596128	11.23671241099663	8.638371265322347	7.958566798126046	7.9980755603799984	8.097997939440752	8.268491895699146	3.347644247889578	-62842.855417853665	-6781.3598826994175	-3043.7787086511316
900000	-72735.17568532964	-9855.623560779202	-62879.552124550435	114.45547442923132	1910.3232140953587	2289.5773701716707	29.116989364699748	16.550923801651322	44.680761969771176	19.659394491987765	28.46878472352419	30.11443256628923	51.096622813719755	1995.6616991598903	2008.2277647229387	1980.097926554819	2005.1192940326023	1996.309903801066	1994.6642559583008	1973.6820657108703	183.7851540491726	20.542179827913237	23.784521221162304	0.24282622985577434	0.25196305313930606	0.2424286426125039	0.26278207439241397	0.034299054085431	1.2083496867568015	0.3519017571252258	2.296196485749567	3.116903507729206E-4	1.5745464792736255E-4	2.968772061001498E-4	0.46261743903924746	0.009755832532296472	11.163709480996545	13.132109620337568	12.144817002619181	12.147795260442884	10.77600203168208	12.116433690839814	14.188723202801057	13.812538093643038	13.817530834889755	13.98880416516064	10.819670724594825	14.913708250623646	19.751325719282985	23.596962408644067	7.466811051869287	7.190782406509541	3.0354028749861253	4.75462173973483	4.082021875074643	3.2134328751974466	8.038788896665814	7.123990926676456	7.996780968963662	8.40937414961001	7.172468483625682	6.714744610985322	12.08066868718673	11.366214284372806	9.001293145080705	10.188510133675948	17.34911792782409	12.301946467056673	42.795267839975374	31.52559518877097	18.797757429441308	65.03816805584316	21.548550690572593	50.15391696065408	15.077083410426662	15.620771596314485	8.473367027947868	8.297758321017831	8.663419863047057	7.907074394698345	6.155762262598558	4.715441713088564	3.0428121176376717	4.248260830852514	2.0445314841096667	2.0937876237466773	1.179719348220938	8.136093523892317	8.083366014555047	8.008595204988334	7.167485620553689	8.558638939151555	4.104363584931136	7.93818894511307	8.039384603881315	7.88668971381049	8.744020069398063	8.352390056177178	8.201198164269433	3.432171533752394	11.61241431942177	18.81643610809084	14.178500999498484	11.068301336692022	7.791195069921959	7.803997577393465	8.435661476520162	8.778339807759602	8.638121716181429	3.641333551799839	-62879.552124550435	-6781.3598826994175	-3051.989883267356
1125000	-72662.12918525882	-9776.834970362714	-62885.29421489611	103.89812077310802	1920.880567751482	2112.698087811929	30.382190899994516	16.360493999781767	44.25963280713184	20.709638426342575	26.282043151588823	33.39123183747765	51.184058668119576	1994.3964976245954	2008.4181945248083	1980.5190557174583	2004.0690500982475	1998.4966453730012	1991.3874566871125	1973.5946298564704	149.5407744101834	16.020394559488675	21.094015479883517	0.2409492200646066	0.2440810456786981	0.24908701528339247	0.2658827189733014	0.008427038671148792	1.384941678688388	0.34819584066622183	2.3036083186675733	3.37274494438643E-4	1.970731966213613E-4	3.178146092621794E-4	0.5595716086912023	0.060413500565820774	11.14422198388758	13.122537505271396	12.141887770461341	12.18625384019347	9.94892449349115	12.163989234639855	14.200504456763907	14.66487784681844	14.689109749871882	14.249994434252752	11.458808789829554	15.574519292747837	19.590806454173435	23.309904688689066	7.517058366224654	7.408337468110899	2.9987362915302476	4.577962568077457	4.006997199510208	3.008692948325791	8.065031143255462	7.1866590692978045	7.989255971800249	8.522903225975385	7.115710025762764	6.541604782217507	12.090011838748104	11.306007646340634	9.766921894191672	10.19558573956925	17.590408183368933	12.518751628714584	43.42891878213025	31.749388439836967	19.481471879667943	64.84824048347194	21.449054442745375	50.05744227073696	15.342166877332646	15.337686021126402	8.211391137298474	7.9123665894387285	8.477618463595036	7.826172957021903	6.130660573817647	4.722522951790497	3.0470273192360797	4.216105831215449	2.085261271009953	2.105962152524633	1.1260588141629173	8.4751392299108	8.040936958109148	7.97917640841011	7.13970952012594	7.948758187166242	4.0498288816477235	7.900911304324619	7.996423010089092	7.931090713104581	8.5532099381451	8.310572198843477	7.915512884420275	3.6381469824077093	11.645821940030514	19.48638602974014	14.194107721647162	11.141385478645509	8.488822203908878	8.132437896788977	8.176360977110974	8.292043459870063	8.703892796622657	3.6000450106901782	-62885.29421489611	-6781.3598826994175	-2974.1426153437837
1350000	-72668.25356643584	-9827.132749768261	-62841.12081666758	111.53444311074676	1913.2442454138434	2214.3718838500185	29.080549541117257	17.946546663940712	35.992000526911816	19.85996852090903	25.2019518836832	32.9811796869062	50.62266225783244	1995.6981389834727	2006.8321418606492	1988.7866879976782	2004.918720003681	1999.5767366409068	1991.7975088376838	1974.1560262667576	176.40016242151643	17.318715820632406	22.493480755654065	0.22971775053286683	0.24534130744274693	0.2587749801817868	0.26616596184259805	0.026503994815167225	1.3712285475678447	0.3435889801036999	2.3128220397926174	3.4046663184899943E-4	2.048618062333393E-4	3.0339541619895814E-4	0.5959752957942344	0.024517604264527964	11.763026127098609	13.122066354767265	12.153246563241424	12.142114199388326	10.742275481131118	12.136884505203284	14.552168608366228	14.450366208085553	14.567467527996886	13.910119030760269	11.346461065033168	15.271768211520824	19.674986152158755	22.936505323482532	7.670150396860685	7.123469305824527	3.0726874268602855	4.466754949177674	4.034579813666986	2.966600503454104	8.068161901156575	7.115808627005576	7.981638624715242	7.826059115796687	7.168567474868665	6.182760226976048	12.03882646109965	10.838031930291201	9.624488438166889	10.172932184760704	16.857801142724387	12.046035117023678	43.450183085960056	31.133764551265898	18.788999063104328	65.3652269202556	21.24342561268551	50.609445017471245	15.278306646055563	15.474636414320509	8.492870222468989	8.024500412356288	8.20859748256516	8.103262233714052	6.190911522217997	4.516637655490301	3.0690659404832035	4.198765393976726	2.08495862074399	2.1107486989452298	1.1389146440760982	8.143142173538596	8.082583747361051	7.9917184050972265	7.151657296592355	8.089247592986428	4.098833036478633	8.061937628044719	8.237267907703792	8.06412823067545	8.01339207674781	7.805086967598775	8.326425866664874	3.0914125828988106	11.543720826065721	19.168996687829065	14.172055653014127	11.390357169360126	8.520046431407296	8.006209553896147	8.721676465525572	8.179308892065903	8.49996725905897	3.1041165766486563	-62841.12081666758	-6781.3598826994175	-3023.7628448369746
1575000	-72680.81078175447	-9844.38087731809	-62836.42990443637	107.09255880090672	1917.6861297236833	2246.556506091164	31.544021109448742	15.709386755147705	39.3972329857925	21.100504420136605	20.823473569902795	37.831803011605594	50.80897549241716	1993.2346674151413	2009.0693017694423	1985.3814555387976	2003.6781841044535	2003.9552149546873	1986.9468855129844	1973.9697130321729	166.55257717216077	17.963503268628347	21.8090708876485	0.23806912086127005	0.25197348016332566	0.24803790657297667	0.26191949240242607	0.024640011080994072	1.3255806402301273	0.34685484995454835	2.3062903000909207	3.1979178313026755E-4	1.9099647768091438E-4	2.882597794565087E-4	0.5954741246325735	0.0325804991744254	10.936721234996346	13.190341961833786	12.173328704244739	12.169896740047825	10.754364903991762	12.119985104111821	14.646655471877892	14.194522168590243	14.028774583240674	14.099708525107564	11.619625685983314	15.307245262991264	19.691411122703425	23.505954682986253	7.075793019666875	7.453741216851207	3.4787474345413285	4.5018354985460896	4.060936954488978	2.7927687319247165	8.074410271511379	7.18142632614647	7.982760915598164	7.858350076516861	7.136911497170333	6.543089632916628	12.107691799043648	10.99795364749373	9.048711447865267	10.178832410639647	17.10009856259336	12.102527004852814	43.5101557313266	30.79287666682314	19.0730992606051	65.6645205897001	21.235875079749405	50.45440154859577	15.640132297671885	15.734485086726501	7.912933627289572	8.551366627902814	8.597000993385107	8.218775452592967	6.161160506669376	4.14012774349332	3.046015403544658	4.229162320687534	2.0515192225029364	2.0855848703178785	1.145025938783365	7.8635999171349615	8.031963631250438	7.9767394247261665	7.179556130818309	8.554265353322009	4.092363775355243	7.890076004138548	8.503276154755257	8.718745402487832	8.557770107842037	8.589784828445348	7.910024965028011	3.1800571260480583	11.164800293296949	18.854315689631477	14.18022650035336	10.988110446936489	7.814279826123939	8.236402288839917	8.71100081760043	8.364638231514022	8.66440207282346	3.7393426214526397	-62836.42990443637	-6781.3598826994175	-3041.239667288901
1800000	-72674.0091137691	-9793.852206244264	-62880.15690752484	98.9719242358243	1925.8067642887659	2119.2291143768834	31.05280011258581	16.01137632872244	32.81179192151878	21.234369486194044	20.4432069220054	31.425173317541308	50.4742249299759	1993.7258884120042	2008.7673121958676	1991.9668966030713	2003.544319038396	2004.3354816025847	1993.3535152070488	1974.3044635946142	167.6310338679569	14.652897649525833	22.169584041983356	0.2396139161115567	0.24600117909090166	0.24859847930256992	0.26578642549497045	0.009749670536967372	1.2858160038540216	0.33161618896442624	2.336767622071157	3.5106998370964556E-4	2.1856172135777653E-4	3.220019348076746E-4	0.6149016414295719	-0.0316163791753884	11.081531211073667	13.145497585339653	12.191136990479887	12.169561915532878	10.196926354624766	12.133500087575193	14.301128996612896	14.394710942149487	14.60314920248915	14.020547595767416	11.044575465993075	15.085100857882711	19.700186717040474	23.37336242710663	6.82885580870266	7.207396896003714	3.241736732307968	4.100264035288214	4.0205399426375115	3.3240054556696785	8.080980427522942	7.196608941409734	8.01934658942456	8.468803527602741	7.13677651118905	6.236705733102456	12.082796455636368	11.51545431908647	9.627346232314277	10.151396808199237	16.822928248667893	12.709828781976258	43.36837160486836	31.42318387752072	18.82979322423641	64.85287707658071	21.042318101543692	49.91085334220684	15.011583991716233	15.720610828623148	8.072485157896832	7.867841887576971	8.687229886983602	7.825013157721558	6.171213460441352	4.65064613916287	3.069491353543147	4.243488193732494	2.0627366444352044	2.1128249132014236	1.19388037540659	8.365879506202546	8.052041864420746	7.9741012832461315	7.168744792257297	7.853423123129071	4.093774964420302	7.905206368109743	7.836832274894058	7.8719263739106955	8.375192786011302	7.820890392265964	8.00065738358709	2.9746753798809693	11.741688341072525	19.4019271011846	14.185943101656278	11.001383105072119	8.542496661596811	8.61889686182194	7.8187721509514105	8.667421569928026	8.690766926009887	3.159764906074904	-62880.15690752484	-6781.3598826994175	-2991.1744466589657
2025000	-72709.52785510004	-9802.3399984085	-62907.18785669153	105.1271767799977	1919.6515117445924	2150.0192943096886	29.92820000528336	14.823747490741981	32.35447563211336	19.745308425946618	20.245568774071526	32.20125874698104	50.53666775900907	1994.8504885193067	2009.9549410338482	1992.4242128924766	2005.0333800986434	2004.5331197505186	1992.577429777609	1974.242020765581	157.4029755348791	16.771398707938122	23.22270994950744	0.24201862324696963	0.2445749957546839	0.2500841540276543	0.2633222269706914	0.007291250114677735	1.296867234160211	0.3391542516915854	2.3216914966168436	3.597631870179833E-4	2.1669214686071702E-4	3.159152174223367E-4	0.5795009693469017	-0.024241644834679655	11.303592127088029	13.159928309979618	12.17588903627431	12.154149332438783	9.793665815641234	12.161818582265385	14.315534579802943	13.783847412393769	14.135587921834244	14.312949161144306	10.806395187402543	15.454247937869608	19.50759949493717	23.180750117854245	6.860115868242149	7.420525668123045	3.249657426584794	3.8377332463080855	4.081040231985206	3.281341006090429	8.106449822565885	7.175710419890779	8.021805138631738	8.439344887136937	7.124424576426956	6.130572818871904	12.054563734825223	11.141807553423943	9.46453504316738	10.116214491080143	16.839399635123865	12.572594619607194	43.02607065903248	31.442823918821837	19.727264069238693	65.03051854277618	21.242644826025423	50.2414094428264	15.016053555762035	15.482018613240868	8.267512386534381	7.933825846940466	7.987803703670201	8.014870410954908	6.162818641187339	4.73985285605445	3.0970785880370455	4.274193653538939	2.0435139717892	2.0930471622646887	1.1793466198866598	8.678733843648574	8.080128352520859	8.027822257235048	7.134073513124657	8.385648926473149	4.051248470169719	7.991283066545013	8.063945001794984	7.912449830022841	8.493108692506942	8.108040965643651	8.443995736325824	3.1231526626459214	11.536324629412164	19.71518525616616	14.190834380975778	11.182706339768393	8.155994189105822	7.8104562431899325	7.861868057312308	8.283962355741753	8.743863921960802	3.1583658040247493	-62907.18785669153	-6781.3598826994175	-2999.373017705707
2250000	-72671.29364813081	-9781.559824149688	-62889.73382398112	106.24830794961215	1918.530380574978	2145.181371188002	32.12780790084449	16.380636336613446	36.38677688176796	21.594664456601894	26.43988975381807	30.18538993718553	50.77471492799419	1992.6508806237455	2008.3980521879766	1988.3919116428222	2003.184024067988	1998.338798770772	1994.5932985874044	1974.0039735965959	156.44904079615782	15.808420139135148	22.950389936513538	0.24045563858509292	0.25002626666082217	0.24449017009985743	0.2650279246542266	0.05980141427329338	1.3300412620445028	0.33962641687922973	2.320747166241556	3.405765145350053E-4	2.0007949079596326E-4	3.090887823002774E-4	0.5785090039392363	0.021058854542382027	11.342288111308177	13.173192605918544	12.154104030638075	12.119251093698072	10.070093310378574	12.159319503340702	14.076025000231931	14.03146198657849	14.45405033620979	14.320196598398498	11.36410556985557	15.646901071181503	19.39521244684173	23.0467485026756	7.678476651715117	7.0642715815845625	3.6415676092904694	3.811162489435414	4.016704707774658	3.4359659166155856	8.103150799410791	7.186843571605336	7.999140485117544	7.87526549545871	7.1628188872595775	5.837872341165551	12.078811977179875	11.460738048998186	9.767500498231364	10.17305657133998	16.887446257011053	12.028174707368274	42.94353417500368	31.41860320488627	18.984064862178784	65.58632756168552	20.93846403736053	50.76447378290993	15.52876580764292	15.729425682513725	8.481798395982942	7.816129011139324	7.779997330746873	8.068104341917788	6.189581022088457	4.344591170982085	3.0947579681133313	4.280341595615535	2.0439586645425036	2.0347561284181923	1.1467618354103206	8.090471044930329	8.074500249447263	7.970642811495907	7.149369144649915	8.65281174332155	4.047957673494052	8.076065962730727	7.925019415174861	7.8775427025160605	7.805130996337366	8.682029960318411	8.402369820668902	3.43915224239565	11.36608839945668	19.52290226587661	14.173794233225763	11.022445651756044	8.143782341657282	8.214081088271046	8.429555502055782	8.706995929436843	8.297535984650208	3.6825562095660804	-62889.73382398112	-6781.3598826994175	-2978.6080094993376
