tipnames	nuts0_id	nuts1_id	nuts2_id	nuts3_id	lat	long
KY199558|NA|turdus_merula|DE|2016	DE	DED	DED2	DED21	51.0504088	13.7372621
MK230890|Villers/2017|turdus_merula|BE|2017-08	BE	BE3	BE31	BE310	50.5779995	4.5311841
MK230892|Richelle/2017|turdus_merula|BE|2017-08	BE	BE3	BE32	BE32B	50.503887	4.469936
KY263624|NA|turdus_merula|BE|2016-10	BE	BE3	BE33	BE332	50.595753	5.4608402
KY263626|NA|turdus_merula|BE|2016-09	BE	BE3	BE33	BE334	50.7128797	5.0335995
MT133690|UV/BlackBird/Sweden/SVA190801SZ0368/VLT001567/2019|turdus_merula|SE|2019-08-01	SE	SE2	SE21	SE213	56.6648948	16.6364773
MN122152|AS201600060|turdus_merula|NL|2016-09-12	NL	NL2	NL22	NL226	51.9294445	6.076959
MN122154|AS201600089|turdus_merula|NL|2016-09-20	NL	NL4	NL41	NL413	51.6965437	5.2233403
MN122158|AS201600104|turdus_merula|NL|2016-09-22	NL	NL2	NL21	NL212	52.4338808	6.2328879
MN122170|AS201600197|turdus_merula|NL|2016-10-11	NL	NL3	NL34	NL342	51.4217978	4.1181265
MN122171|AS201600203|turdus_merula|NL|2016-10-05	NL	NL2	NL23	NL230	52.518537	5.471422
MN122176|AS201600247|turdus_merula|NL|2016-09-30	NL	NL3	NL34	NL341	51.3322854	3.8324265
MN122177|AS201600253|turdus_merula|NL|2016-09-27	NL	NL4	NL42	NL423	50.9068054	6.0254905
MN122179|AS201600268|turdus_merula|NL|2016-09-30	NL	NL3	NL33	NL33B	51.9094288	4.6850205
MN122181|AS201600277|turdus_merula|NL|2016-09-27	NL	NL3	NL31	NL310	52.2274871	4.9096275
MN122188|AS201700024|turdus_merula|NL|2017-04-11	NL	NL2	NL22	NL226	51.963807	5.9689837
MN122190|AS201700080|turdus_merula|NL|2017-07-05	NL	NL3	NL31	NL310	52.1365344	5.2103806
MN122192|AS201700086|turdus_merula|NL|2017-07-11	NL	NL4	NL41	NL414	51.5077637	5.3978482
MN122198|AS201700109|turdus_merula|NL|2017-07-25	NL	NL2	NL22	NL221	51.9991039	5.6747544
