...1,ID,DeathOrSampleDate,DateInfo,English,Latin,family,order,location,postal.code,province,Long,Lat,Remark,Surveillance,GenBank,UniqueID,Sample,CT
25,3160927002,2016-09-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Landgraaf,5922,Limburg,6.023902253,50.89115378,CoordinatesConfidential_Mask!,DeadWildBirds,MN122177,AS201600253,brain,21.51
26,3160927003,2016-09-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,De ronde venen,1390,Utrecht,4.971485138,52.27078357,CoordinatesConfidential_Mask!,DeadWildBirds,MN122181,AS201600277,brain,17.43
27,3160927005,2016-09-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Midden drexhe,9410,Drenthe,6.510772705,52.81459069,CoordinatesConfidential_Mask!,DeadWildBirds,MN122174,AS201600241,brain,20.16
28,3160927012,2016-09-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Zutphen,7200,Gelderland,6.224441528,52.13991514,CoordinatesConfidential_Mask!,DeadWildBirds,MN122175,AS201600244,brain,18.89
29,3160927013,2016-09-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Streek de liemers,6931,Gelderland,5.9694749,51.9534576,CoordinatesConfidential_Mask!,DeadWildBirds,MN122180,AS201600274,brain,21.11
30,3160929009,2016-09-28,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Almere,1300,Flevoland,5.282707214,52.40250893,CoordinatesConfidential_Mask!,DeadWildBirds,MN122172,AS201600221,brain,19.95
31,3160930004,2016-09-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Nederlek,2931,Z-Holland,4.684834,51.900694,CoordinatesConfidential_Mask!,DeadWildBirds,MN122179,AS201600268,brain,16.72
32,3160930005,2016-09-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Terneuzen,4532,Zeeland,3.938598633,51.28487099,CoordinatesConfidential_Mask!,DeadWildBirds,MN122176,AS201600247,brain,14.07
33,3160930006,2016-09-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Enschede,7511,Overijssel,6.910405755,52.20526692,CoordinatesConfidential_Mask!,DeadWildBirds,MN122178,AS201600265,brain,16.48
34,3160930007,2016-09-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Hilversum,1200,N-Holland,5.157343782,52.20987446,CoordinatesConfidential_Mask!,DeadWildBirds,MN122173,AS201600227,brain,26.23
35,3161005009,2016-10-04,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Lelystad,8225,Flevoland,5.4454422,52.53559434,CoordinatesConfidential_Mask!,DeadWildBirds,MN122171,AS201600203,brain,32.01
36,3161007002,2016-10-06,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Doetinchem,7000,Gelderland,6.3003207,51.9588768,CoordinatesConfidential_Mask!,DeadWildBirds,MN122169,AS201600173,brain,20.33
37,3161011005,2016-10-09,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Reimerswaal,4400,Zeeland,4.1849327,51.4145472,CoordinatesConfidential_Mask!,DeadWildBirds,MN122170,AS201600197,brain,20.13
38,3170405004,2017-04-04,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Eindhoven,5629,Brabant,5.468262,51.48622,CoordinatesConfidential_Mask!,DeadWildBirds,MN122188,AS201700024,brain,19.88
39,3170705003,2017-07-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Best,5681,Brabant,5.397549,51.509159,CoordinatesConfidential_Mask!,DeadWildBirds,MN122189,AS201700077,brain,16.8
40,3170705037,2017-07-04,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bunnik,3980,Utrecht,5.202545,52.064253,CoordinatesConfidential_Mask!,DeadWildBirds,MN122191,AS201700084,brain,16.6
41,3170707005,2017-07-05,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bilthoven,3732,Utrecht,5.216197,52.138084,CoordinatesConfidential_Mask!,DeadWildBirds,MN122190,AS201700080,brain,19.6
42,3170713001,2017-07-11,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Best,5681,Brabant,5.4007269,51.5087219,CoordinatesConfidential_Mask!,DeadWildBirds,MN122192,AS201700086,brain,18.3
