sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
KY113104,western europe,germany,nordrhein-westfalen,NA,NA,NA,NA,NA,NA,1974,1974,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113105,western europe,germany,NA,NA,NA,NA,NA,NA,NA,1981,1981,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113106,western europe,germany,NA,NA,NA,NA,NA,NA,NA,1993,1993,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113095,western europe,germany,NA,NA,NA,NA,NA,NA,NA,2002,2002,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113098,western europe,germany,NA,NA,NA,NA,NA,NA,NA,2006,2006,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113099,western europe,germany,NA,NA,NA,NA,NA,NA,NA,2006,2006,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113100,western europe,germany,NA,NA,NA,NA,NA,NA,NA,2006,2006,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113101,western europe,germany,nordrhein-westfalen,NA,NA,NA,NA,NA,NA,2006,2006,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113102,western europe,germany,nordrhein-westfalen,NA,NA,NA,NA,NA,NA,2006,2006,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KY113107,western europe,germany,NA,NA,NA,NA,NA,NA,NA,2007,2007,"Bernhard Nocht Institute for Tropical Medicine, Virology"
KJ438705,western europe,germany,NA,NA,culex pipiens,culex pipiens,NA,NA,NA,2009,2009,"Bernhard Nocht Institute for Tropical Medicine WHO Collaborating Centre for Arbovirus and Haemorrhagic Fever Reference and Rese, Division of Arbovirology"
KJ438706,western europe,germany,NA,NA,culex sp.,culex sp.,NA,NA,NA,2009,2009,"Bernhard Nocht Institute for Tropical Medicine WHO Collaborating Centre for Arbovirus and Haemorrhagic Fever Reference and Rese, Division of Arbovirology"
