accession,isolate,lineage
OR141545,,AF3
OR141546,,AF3
OR141547,,AF3
OR141548,,AF3
OR141549,,AF3
OR141550,,AF3
OR141551,,AF3
OR141552,,AF3
OR141553,,AF3
OR141554,,AF3
OR141555,,AF3
OR141556,,AF3
OR141557,,AF3
OR141558,,AF3
OR141559,,AF3
OR141560,,AF3
OR141561,,AF3
OR141562,,AF3
OR141563,,AF3
OR141564,,AF3
OR141565,,AF3
OR141566,,AF3
OR141567,,EU3
OR141568,,EU3
OR141569,,EU3
OR141570,,EU3
OR141571,,EU3
OR141572,,EU3
OR141573,,EU2
OR141574,,EU2
OR141575,,EU2
OR141576,,EU2
OR141577,,EU2
OR141578,,AF3
OR141579,,AF3
OR141580,,AF3
OR141581,,AF3
OR141582,,AF3
OR141583,,AF3
OR141584,,AF3
OR141585,,AF3
OR141586,,AF3
OR141587,,EU3
OR141588,,EU3
OR141589,,EU3
OR141590,,EU3
OR141591,,EU3
OR141592,,EU3
OR141593,,EU3
OR141594,,EU3
OR141595,,EU3
OR141596,,EU2
OR141597,,EU2
OR141598,,EU2
OR141599,,EU2
OR141600,,EU3
OR141601,,AF3
OR141602,,EU3
OR141603,,AF3
OR141604,,AF3
OR141605,,AF3
OR141606,,EU3
OR141607,,AF3
OP422562,,AF3
OP422565,,AF3
OP422563,,EU3
OP422564,,EU2
MN122145,,AF3.2
MN122146,,AF3.3
MN122147,,AF3.3
MN122148,,AF3.2
MN122149,,AF3.3
MN122150,,AF3.3
MN122151,,AF3.2
MN122152,,EU3
MN122153,,AF3.3
MN122154,,EU3
MN122155,,AF3.3
MN122156,,AF3.2
MN122157,,AF3.3
MN122158,,EU3
MN122159,,AF3.3
MN122160,,AF3.3
MN122161,,AF3.3
MN122162,,AF3.2
MN122163,,AF3.2
MN122164,,AF3.2
MN122165,,AF3.3
MN122166,,EU3
MN122167,,AF3.3
MN122168,,AF3.3
MN122169,,AF3.2
MN122170,,EU3
MN122171,,EU3
MN122172,,EU3
MN122173,,AF3.3
MN122174,,EU3
MN122175,,AF3.2
MN122176,,EU3
MN122177,,EU3
MN122178,,AF3.3
MN122179,,EU3
MN122180,,AF3.3
MN122181,,EU3
MN122182,,AF3.2
MN122183,,AF3.3
MN122184,,AF3.3
MN122185,,AF3.2
MN122186,,AF3.2
MN122187,,AF3.2
MN122188,,EU3
MN122189,,EU3
MN122190,,EU3
MN122191,,AF3.3
MN122192,,EU3
MN122193,,AF3.3
MN122194,,AF3.3
MN122195,,AF3.3
MN122196,,EU3
MN122197,,AF3.3
MN122198,,EU3
MN122199,,AF3.3
MN122200,,AF3.3
MN122201,,AF3.2
MN122202,,AF3.3
MN122203,,EU3
MN122204,,AF3.3
MN122205,,AF3.3
MN122206,,AF3.2
MN122207,,AF3.3
MN122208,,AF3.3
MN122209,,AF3.3
MN122210,,AF3.3
MN122211,,AF3.2
MN122212,,AF3.3
MN122213,,EU3
MN122214,,AF3.2
MN122215,,EU3
MN122216,,AF3.3
MN122217,,AF3.3
MN122218,,AF3.3
MN122219,,AF3.3
MN122220,,AF3.2
MN122221,,AF3.3
MN122222,,AF3.3
MN122223,,AF3.3
MN122224,,AF3.2
MN122225,,AF3.3
MN122226,,AF3.3
MN122227,,AF3.2
MN122228,,AF3.3
MN122229,,EU3
MN122230,,AF3.2
MN122231,,AF3.2
MN122232,,AF3.2
MN122233,,AF3.2
MN122234,,AF3.3
MN122235,,EU3
MN122236,,AF3.2
MN122237,,AF3.3
MN122238,,AF3.1
MN122239,,AF3.3
MN122240,,AF3.2
MN122241,,AF3.3
MN122242,,AF3.3
MN122243,,AF3.3
MN122244,,AF3.2
MN122245,,AF3.2
MN122246,,AF3.2
MN122247,,AF3.3
MN122248,,AF3.3
MN122249,,AF3.2
MN122250,,AF3.3
MN122251,,AF3.3
MN122252,,AF3.3
MN122253,,AF3.3
MN122254,,AF3.2
MN122255,,AF3.3
MN122256,,AF3.3
