Collection_Date,Host,Geo_Location,Accession,Isolation_Source,Country,Isolate
2018-07-30,Chloris chloris,4330 Middelburg Zeeland,NA,brain,Netherlands,AS201800085
2018-08-22,Turdus merula,8741 Wunseradiel Friesland,NA,brain,Netherlands,AS201800175
2019-08-19,Turdus merula,3958 Utrechtse heuvelrug Utrecht,NA,brain,Netherlands,AS20190530
2019-08-27,Turdus merula,Renkum Gelderland,NA,brain,Netherlands,AS20190490
2019-08-28,Turdus merula,Amersfoort Utrecht,NA,brain,Netherlands,AS20190494
2019-09-03,Turdus merula,Gemert-bakel Brabant,NA,brain,Netherlands,AS20190450
2019-09-18,Passer domesticus,Vlagtwedde Groningen,NA,brain,Netherlands,AS20190643
2019-09-19,Prunella modularis,Vught Brabant,NA,brain,Netherlands,AS20190579
2020-08-16,Turdus merula,Overbetuwe Gelderland,NA,brain,Netherlands,AS20200367
2020-08-19,Turdus merula,Overbetuwe Gelderland,NA,brain,Netherlands,AS20200415
2020-08-23,Turdus merula,Buren Gelderland,NA,brain,Netherlands,AS20200342
2020-08-25,Cyanistes caeruleus,Ubbergen Gelderland,NA,spleen,Netherlands,AS20200444
2020-09-15,Turdus merula,Alblasserwaard Z-Holland,NA,brain,Netherlands,AS20200487
2020-09-15,Cyanistes caeruleus,Haarlemmermeer N-Holland,NA,brain,Netherlands,AS20200586
2020-09-17,Cyanistes caeruleus,Arnhem Gelderland,NA,brain,Netherlands,AS20200531
2020-08-22,Turdus merula,Wageningen Gelderland,NA,brain,Netherlands,AS20200605
2020-08-26,Turdus merula,Laag-Soeren Gelderland,NA,brain,Netherlands,AS20200610
2020-09-21,Turdus merula,Eersel Brabant,NA,brain,Netherlands,AS20200526
2020-09-24,Columba palumbus,Weesp N-Holland,NA,brain,Netherlands,AS20200536
2020-09-27,Turdus merula,Soest Utrecht,NA,brain,Netherlands,AS20200561
2020-09-27,Turdus merula,Utrecht Utrecht,NA,brain,Netherlands,AS20200523
2020-09-27,Turdus merula,Utrecht Utrecht,NA,brain,Netherlands,AS20200566
2020-09-30,Turdus merula,Beesel Limburg,NA,brain,Netherlands,AS20200689
2021-08-30,Turdus merula,Nieuwegein Utrecht,NA,brain,Netherlands,AS20210914
2021-09-19,Turdus merula,Wanssum Limburg,NA,brain,Netherlands,AS20210829
2022-07-24,Turdus merula,Eindhoven Brabant,NA,lung,Netherlands,AS20221670
2022-07-28,Turdus merula,Eindhoven Brabant,NA,brain,Netherlands,AS20221627
2022-08-04,Turdus merula,Hoogerheide Brabant,NA,brain,Netherlands,AS20221637
2022-08-08,Turdus merula,Den bosch Brabant,NA,lung,Netherlands,AS20221660
2022-08-04,Turdus merula,Klein zundert Brabant,NA,brain,Netherlands,AS20221657
2022-08-08,Turdus merula,Drunen Brabant,NA,brain,Netherlands,AS20221617
2022-08-11,Turdus merula,Drunen Brabant,NA,brain,Netherlands,AS20221784
2022-08-22,Turdus merula,Hardinxveld-giessendam Z-Holland,NA,brain,Netherlands,AS20221838
2022-08-24,Turdus merula,Heelsum Gelderland,NA,brain,Netherlands,AS20221760
2022-08-26,Turdus merula,Heelsum Gelderland,NA,brain,Netherlands,AS20221780
2022-08-24,Turdus merula,Alblasserdam Z-Holland,NA,brain,Netherlands,AS20221789
2022-08-24,Turdus merula,Heelsum Gelderland,NA,brain,Netherlands,AS20221813
2022-08-28,Turdus merula,Venlo Limburg,NA,brain,Netherlands,AS20221775
2022-08-28,Turdus merula,Almere Flevoland,NA,brain,Netherlands,AS20221833
2022-08-26,Turdus merula,Klein zundert Brabant,NA,brain,Netherlands,AS20221828
2022-08-30,Turdus merula,Gendt Gelderland,NA,lung,Netherlands,AS20221798
2022-08-31,Turdus merula,Eindhoven Brabant,NA,brain,Netherlands,AS20221818
2022-09-02,Turdus merula,Bosschenhoofd Brabant,NA,brain,Netherlands,AS20221803
2022-09-03,Turdus merula,Houten Utrecht,NA,brain,Netherlands,AS20221851
2022-09-03,Turdus merula,Delft Z-Holland,NA,lung,Netherlands,AS20221846
2022-09-04,Turdus merula,Delft Z-Holland,NA,brain,Netherlands,AS20221842
2022-09-04,Turdus merula,Heesch Brabant,NA,brain,Netherlands,AS20221923
2022-09-11,Turdus merula,Bennekom Gelderland,NA,lung,Netherlands,AS20221898
2022-09-11,Turdus merula,Sibculo Overijssel,NA,brain,Netherlands,AS20221875
2022-09-12,Turdus merula,Enschede Overijssel,NA,brain,Netherlands,AS20221880
2022-09-12,Turdus merula,Nuenen Brabant,NA,brain,Netherlands,AS20221908
2022-09-11,Turdus merula,Saasveld Overijssel,NA,brain,Netherlands,AS20221913
2022-09-14,Turdus merula,Son Brabant,NA,brain,Netherlands,AS20221860
2022-09-13,Turdus merula,Nieuw-vennep N-Holland,NA,brain,Netherlands,AS20221903
2022-09-14,Turdus merula,Steenenkamer Gelderland,NA,brain,Netherlands,AS20221884
2022-09-18,Turdus merula,Leersum Utrecht,NA,brain,Netherlands,AS20221889
2022-09-15,Cyanistes caeruleus,Zundert Brabant,NA,brain,Netherlands,AS20221918
2022-09-19,Passer domesticus,5991 XJ Baarlo Limburg,NA,brain,Netherlands,AS20221994
2022-09-20,Turdus merula,6717 ET Ede Gelderland,NA,brain,Netherlands,AS20221942
2022-09-20,Turdus merula,6261 NJ Mheer Limburg,NA,brain,Netherlands,AS20221974
2022-09-22,Turdus philomelos,8523 BG Enschede Overijssel,NA,brain,Netherlands,AS20221999
2022-09-25,Turdus merula,1411 BR Naarden N-Holland,NA,Pharyngeal_Swab,Netherlands,AS20221928
2022-09-25,Turdus merula,6866 NA Heelsum Gelderland,NA,feather,Netherlands,AS20221958
2022-09-26,Columba palumbus,6721 NN Bennekom Gelderland,NA,brain,Netherlands,AS20221964
2022-09-25,Turdus merula,6861 ZM Oosterbeek Gelderland,NA,brain,Netherlands,AS20221957
2022-09-27,Streptopelia decaocto,3832 BE Leusden Utrecht,NA,brain,Netherlands,AS20221952
2022-10-03,Turdus philomelos,2082 EN Santpoort N-Holland,NA,brain,Netherlands,AS20221979
2022-11-10,Turdus merula,4171 ca herwijnen Gelderland,NA,brain,Netherlands,AS20222401
2016,Strix nebulosa,5681 BestZoo Brabant,NA,HipposboscidaeSingle,Netherlands,AS201600289_BEC009
2016-08-13,Strix nebulosa,"6460 AB Kerkrade, GaiaZoo Limburg",NA,liver,Netherlands,AS201600064
2016-09-01,Bubo scandiacus,"6460 AB Kerkrade, GaiaZoo Limburg",NA,spleen,Netherlands,AS201600073
2016-09-09,Strix nebulosa,"6121 XK Born, Kasteelpark Limburg",NA,brain,Netherlands,AS201600067
2016-09-20,Strix nebulosa,4181 PT Waardenburg Gelderland,NA,brain,Netherlands,AS201600082
2016-09-25,Strix nebulosa,"3911 AV Rhenen, Ouwehands DP Utrecht",NA,heart,Netherlands,AS201600269
2017-07-31,Strix nebulosa,7504 Enschede Overijssel,NA,liver,Netherlands,AS201700148
2017-08-09,Strix nebulosa,7345 DG Wenum Wiesel Gelderland,NA,brain,Netherlands,AS201700142
2017-08-14,Branta ruficollis,"6460 AB Kerkrade, GaiaZoo Limburg",NA,brain,Netherlands,AS201700144
2017-08-14,Branta ruficollis,"3460 AB Kerkrade, GaiaZoo Limburg",NA,brain,Netherlands,AS201700147
2017-08-25,Strix nebulosa,"3000 AM Rotterdam, Blijdorp Zoo Z-Holland",NA,brain,Netherlands,AS201700173
2017-09-05,Strix nebulosa,"3000 AM Rotterdam, Blijdorp Zoo Z-Holland",NA,brain,Netherlands,AS201700198
2018-07-24,Strix nebulosa,3800 Amersfoort Utrecht,NA,brain,Netherlands,AS201800080
2018-08-16,Strix nebulosa,"7801 BA Emmen, Wildlands Zoo Drenthe",NA,brain,Netherlands,AS201800117
2019-09-03,Taeniopygia (genus),2905 RP Capelle aan den IJssel,NA,brain,Netherlands,AS20190482
2019-09-12,Gracula religiosa,6652 DH Druten,NA,brain,Netherlands,AS20190438
2019-10-07,Copsychus malabaricus,"6816 SH Arnhem, Burgers Zoo",NA,cloaca swab,Netherlands,AS20190715
2019-10-07,Copsychus malabaricus,"6816 SH Arnhem, Burgers Zoo",NA,mouth swab,Netherlands,AS20190716
2022-07-21,Strix nebulosa,4721 Schijf Brabant,NA,heart,Netherlands,AS20221755
2017-07-21,Turdus merula,Mijdrecht Turkoois Van Den Berg,NA,Throat_Cloacal_Swab,Netherlands,17TV1199
2017-08-02,Turdus merula,"51.82560003, 5.908509493",NA,Throat_Cloacal_Swab,NA,16TV1045
2017-09-07,Turdus merula,"51.35479527, 5.164886534",NA,Throat_Cloacal_Swab,NA,17TV1446
2017-10-26,Turdus merula,Maastricht Maasveld,NA,DBS,Netherlands,17TV1463
2018-08-17,Turdus merula,Karveel,NA,Throat_Cloacal_Swab,Netherlands,18TV0344
