Collection_Date,Host,Geo_Location,Accession,Isolation_Source,Country,Isolate
2018-08-18,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,Throat_Cloacal_Swab,Netherlands,18TV0825
2018-08-18,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,Throat_Cloacal_Swab,Netherlands,18TV0475
2018-09-10,Turdus merula,Erf Achterweg 4 9261 Vx Eastermar Frl.,NA,DBS,Netherlands,18TV0937
2018-09-16,Turdus philomelos,Ringstation Overdinkel,NA,Throat_Cloacal_Swab,Netherlands,18TV1196
2018-10-06,Turdus merula,Zwarte Meer West,NA,Throat_Cloacal_Swab,Netherlands,17TV1510
2018-10-11,Turdus merula,Erf Achterweg 4 9261 Vx Eastermar Frl.,NA,Throat_Cloacal_Swab,Netherlands,18TV1517
2018-10-13,Turdus merula,Natuurgebied De Burgumermar Oostoever Frl.,NA,Throat_Cloacal_Swab,Netherlands,18TV1221
2018-10-31,Turdus merula,"52.2636648, 5.0992524",NA,Throat_Cloacal_Swab,NA,18TV0252
2019-04-12,Turdus merula,Karveel,NA,Throat_Cloacal_Swab,Netherlands,19TV0329
2019-04-24,Passer domesticus,Karveel,NA,Throat_Cloacal_Swab,Netherlands,19TV0102
2020-08-29,Turdus merula,Ringstation Overdinkel,NA,TickSingle,Netherlands,20TV2299
2022-07-29,Turdus merula,Leeuwen,NA,Throat_Cloacal_Swab,Netherlands,21TV5071
2022-08-24,Cyanistes caeruleus,Vleuten,NA,Throat_Cloacal_Swab,Netherlands,22TV2594
2022-08-24,Turdus merula,"52.316636, 6.132229",NA,Throat_Cloacal_Swab,NA,22TV2538
2022-08-28,Turdus philomelos,Haarzuilens Eendenkooi Ces Locatie,NA,Throat_Cloacal_Swab,Netherlands,22TV2724
2022-08-27,Turdus merula,Haarzuilens Griend,NA,Throat_Cloacal_Swab,Netherlands,22TV3658
2022-09-09,Turdus merula,Krommenie,NA,Throat_Cloacal_Swab,Netherlands,22B00462
2022-10-02,Turdus merula,Haarzuilens Griend,NA,Throat_Cloacal_Swab,Netherlands,21TV8157
2022-09-11,Turdus merula,Oprit Papenpad 3,NA,Throat_Cloacal_Swab,Netherlands,22TV3780
2022-09-08,Turdus merula,"51.35479527, 5.164886534",NA,Throat_Cloacal_Swab,NA,21TV9171
2022-09-21,Turdus philomelos,Dassenbos Wageningen,NA,Throat_Cloacal_Swab,Netherlands,22B00749
2022-09-04,Turdus merula,Haarzuilens Griend,NA,Throat_Cloacal_Swab,Netherlands,22TV2684
2022-09-03,Turdus merula,Haarzuilens Griend,NA,feather,Netherlands,22TV2828
2022-10-02,Turdus merula,Haarzuilens Griend,NA,feather,Netherlands,22TV3602
2022-10-08,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,feather,Netherlands,22TV3632
2022-11-12,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,feather,Netherlands,22B00207
2022-11-12,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,feather,Netherlands,22B00237
2022-11-12,Turdus merula,Haarzuilens Eendenkooi Ces Locatie,NA,feather,Netherlands,22B00186
2022-12-03,Turdus merula,Gravenburg Groningen,NA,feather,Netherlands,22B04271
2022-09-16,Turdus merula,"53.19182109, 6.77770516",NA,Throat_Cloacal_Swab,NA,22B00483
