time	95%HPD_lower_value	95%HPD_higher_value
2003.01127346104	310.991721087169	988.495368942653
2003.22072854982	73.3902996900358	1334.71596946867
2003.4301836386	66.6302458797626	2829.57509388249
2003.63963872738	188.191848497507	4339.3156441095
2003.84909381615	82.3050943814234	7158.97308953366
2004.05854890493	301.313168925999	17385.9597337294
2004.26800399371	49.7308196452824	10448.0069204694
2004.47745908249	45.4662794749854	7714.29974651771
2004.68691417127	55.8910039183742	5832.82728732495
2004.89636926005	262.042802549802	6472.22167519618
2005.10582434883	163.470206473363	6989.26436725239
2005.31527943761	54.1486637336219	9458.15253636186
2005.52473452638	33.0590489637909	14838.8263606667
2005.73418961516	412.612546292117	14452.711955322
2005.94364470394	579.896419830753	15107.2536744757
2006.15309979272	687.532716651014	13194.9432026154
2006.3625548815	340.904923363356	9067.58257334457
2006.57200997028	587.528657419906	11460.4710818266
2006.78146505906	461.194739023786	13439.621284948
2006.99092014783	873.623439190895	11815.716072586
2007.20037523661	494.810047933793	12165.2752686218
2007.40983032539	824.609840877768	11981.7984454672
2007.61928541417	814.078391324548	12974.5358759557
2007.82874050295	279.091928981763	12545.7967656703
2008.03819559173	329.675161650948	14119.6712616258
2008.24765068051	778.143546611159	20293.4841048819
2008.45710576929	409.894439308094	17255.009491822
2008.66656085806	797.462604399336	21115.0772698774
2008.87601594684	458.953898001537	20066.9927081538
2009.08547103562	376.857507873142	22705.8460711781
2009.2949261244	575.632546397511	17213.5033811966
2009.50438121318	616.840103214857	13471.0435148119
2009.71383630196	511.235555873168	16518.985028034
2009.92329139074	427.404150001185	19692.7040262226
2010.13274647952	875.886038118439	20589.9332078626
2010.34220156829	574.017544656296	19518.6624300335
2010.55165665707	649.691789081974	18357.8718344078
2010.76111174585	1214.20195006807	21497.2765925096
2010.97056683463	1149.78516349081	22924.1351358889
2011.18002192341	2252.81731942074	23848.6902424163
2011.38947701219	163.036996435107	25504.7514014588
2011.59893210097	157.389345550517	31296.7533978042
2011.80838718974	1071.33830215245	34291.311906556
2012.01784227852	2116.21756454198	34145.3536973081
2012.2272973673	2532.99102931899	37968.8754578335
2012.43675245608	2810.21954752239	33645.9079306755
2012.64620754486	2529.09522606983	36793.5825321081
2012.85566263364	827.410430014431	38221.0807719229
2013.06511772242	1425.95036236503	43769.3963342757
2013.2745728112	5317.80052512515	52853.8211120226
2013.48402789997	7970.8150428784	52821.1778914162
2013.69348298875	14747.3178864108	65564.696673473
2013.90293807753	16569.1409593769	72677.5100527865
2014.11239316631	20058.1901521964	79665.8955167306
2014.32184825509	18532.2104037147	86303.2690987591
2014.53130334387	20230.6651839026	78610.0167048388
2014.74075843265	27827.5731502951	90242.4070818132
2014.95021352143	16525.5994776312	91331.3463334897
2015.1596686102	19804.4330205868	88674.4654770192
2015.36912369898	24138.5911114377	96964.0928215343
2015.57857878776	35613.8288062434	102454.88528371
2015.78803387654	36856.6946713068	115331.264850399
2015.99748896532	45308.9544013387	120420.898492342
2016.2069440541	53985.2997460582	133579.312228458
2016.41639914288	57453.7294882099	138331.272513291
2016.62585423165	46918.6021756456	141796.007949997
2016.83530932043	41410.370728737	128437.468075872
2017.04476440921	45687.9750508528	132619.873044836
2017.25421949799	49292.2662412157	136898.935381817
2017.46367458677	43496.0676756468	157523.730710719
2017.67312967555	43756.2006773591	169369.131832549
2017.88258476433	40910.0326542624	193325.364405854
2018.09203985311	48604.6359939326	229812.338273119
2018.30149494188	86454.6935318217	225699.679901787
2018.51095003066	73872.1100143646	189276.789409268
2018.72040511944	53299.1843990956	149563.804003679
2018.92986020822	31732.6590401829	97480.9290968644
2019.139315297	5813.10510654907	32652.7921345802
2019.34877038578	29.0329803830731	12961.4917439651
2019.55822547456	2.93933104526143	16363.9270001413
2019.76768056334	3.67973120289028	18351.8956116561
2019.97713565211	2.75275695404285	22817.6500252754
2020.18659074089	1954.27343740619	30566.242890477
2020.39604582967	4684.49906972714	33796.4272876994
2020.60550091845	3398.58556227665	27748.5395355688
2020.81495600723	1388.84117224505	24016.9024681988
2021.02441109601	303.362410717312	17673.5251750804
2021.23386618479	978.260311748063	17726.7424469533
2021.44332127356	199.573247734521	15366.092601163
2021.65277636234	141.318521054493	17490.6129011691
2021.86223145112	83.0705901447	13786.4677036301
2022.0716865399	41.7377972090621	12264.7750970887
2022.28114162868	33.1426638007077	11999.1475704817
2022.49059671746	25.6547454778969	13934.0498335971
2022.70005180624	18.1688168777611	17476.1020835879
2022.90950689502	33.6609773172423	21561.2818668838
2023.11896198379	4.94450466575056	23091.2466040978
2023.32841707257	2330.50980999332	28897.9987740706
2023.53787216135	2393.48089798465	32383.6621185087
2023.74732725013	1746.44003024971	26209.3462305124
