Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_lake_river_reservoir_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_lake_river_reservoir_C	Univariate_LR_delta_R2_lake_river_reservoir_C
0.500384782454601	0.514129972829596	0.529724608852601	0.526131176682834	-0.00359343216976715
0.598734101977677	0.600389744968452	0.310465847319546	0.301737806631448	-0.00872804068809735
0.397733803848193	0.405122523868128	0.362807603232674	0.360167550581845	-0.00264005265082856
0.379702274638744	0.38503779240545	0.39258871916929	0.391534623261995	-0.00105409590729483
0.475676014185618	0.484295412177638	0.475778044516905	0.474603959012249	-0.00117408550465609
0.481567273429568	0.491147641579936	0.362777139823593	0.361247629964311	-0.0015295098592818
0.426731519872568	0.439267706242384	0.456431413562904	0.456669902236991	0.000238488674087212
0.402994589428909	0.411045616114587	0.375760211549618	0.375771844142332	1.16325927140837e-05
0.556105674539595	0.570255930526151	0.543590561639994	0.546657335160574	0.00306677352057971
0.485652799017552	0.493023458822385	0.532394677901439	0.532407941177932	1.32632764932028e-05
0.389239481185579	0.404964458826749	0.420633095893462	0.421572351355006	0.000939255461544497
0.406869850896763	0.419433427410255	0.523663905674913	0.527413944204441	0.00375003852952793
0.724099687231873	0.744286230097678	0.439337421967761	0.436278847163417	-0.00305857480434352
0.69184430446921	0.701191631015055	0.441242287796801	0.433736489741657	-0.00750579805514395
0.406754153301763	0.414383754445462	0.338779133681712	0.341344227172098	0.00256509349038631
0.622013404250828	0.635675769043218	0.386967759624676	0.388440569758756	0.0014728101340804
0.4644906836007	0.47800263035316	0.616330709938815	0.61973200032177	0.00340129038295578
0.474161031452312	0.484231382725984	0.365748978641581	0.367238772650133	0.00148979400855259
0.484134689476405	0.494313076814644	0.404365580607366	0.409281000663946	0.0049154200565803
0.406192443450864	0.417025260075483	0.410402333426672	0.415280681128245	0.00487834770157286
0.431673433897665	0.441442205566586	0.481153094265713	0.482828110263925	0.00167501599821268
0.435906408808703	0.446707504351621	0.578256834263428	0.574731788753873	-0.00352504550955501
