Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_lake_river_reservoir_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_lake_river_reservoir_R	Univariate_LR_delta_R2_lake_river_reservoir_R
0.222819522244156	0.222301004917119	0.225790609005007	0.226198778546362	0.000408169541355224
0.30323869358435	0.304114538725024	0.251825580364646	0.253514141804279	0.00168856143963297
0.205667273279815	0.206295759606872	0.348586858615999	0.350228525424174	0.00164166680817429
0.198107318385253	0.197716595381929	0.343317142018877	0.34224204772434	-0.00107509429453684
0.266017256220056	0.267073740162252	0.373164257482372	0.3755345840335	0.00237032655112851
0.223004802734047	0.22300557278102	0.452085105192932	0.452900345102108	0.000815239909176146
0.325693178625149	0.326161854753249	0.469895501528423	0.471142371157663	0.00124686962923953
0.312788566151232	0.312760562139812	0.400137607691373	0.400115660234849	-0.0000219474565238409
0.263360018296483	0.262796229337518	0.388001255005143	0.386828730873945	-0.00117252413119773
0.253337589858094	0.253756837621691	0.305782178200249	0.306165208262864	0.000383030062614864
0.276411448712494	0.276745144687979	0.300161468778702	0.300777990829922	0.00061652205121987
0.163793104152798	0.163739667590109	0.340544575615153	0.340624789705608	0.0000802140904551663
0.21068708672015	0.210641888458165	0.382997249662793	0.382567710287171	-0.00042953937562229
0.205096837255184	0.205544493031208	0.161117493075028	0.161806241966817	0.000688748891788576
0.201199870827006	0.201349824466246	0.394514784874963	0.393985449291696	-0.000529335583267565
0.260538936296584	0.260424934040478	0.353927097924863	0.353180469641743	-0.000746628283119444
0.190867574689895	0.191770913502772	0.333128451153511	0.335402355002909	0.00227390384939807
0.180410147012328	0.180235312635642	0.219906921992264	0.219664005518632	-0.000242916473631338
0.255426355962294	0.255266446415212	0.298627472054518	0.298589633934885	-0.000037838119633149
0.197287392065138	0.197186753365947	0.225581198976633	0.2252571127494	-0.000324086227233594
0.201639024924044	0.201509863893851	0.338053924833599	0.338438788039834	0.000384863206235653
0.180680129653145	0.180377239088341	0.222518713436317	0.221972682331334	-0.000546031104983163
0.246080598351616	0.246154434834839	0.472562044388236	0.472490078024734	-0.0000719663635018186
0.200178833629194	0.199475995526385	0.235506045078312	0.234131291750059	-0.0013747533282531
0.269880938946026	0.269828651524262	0.383265300094942	0.383370959313083	0.000105659218141319
0.180139242829934	0.179790034971836	0.171586484100425	0.171072359508894	-0.000514124591530135
0.243953345727508	0.243673146493556	0.291358036734729	0.290947426208926	-0.000410610525803712
0.247983374684704	0.247275848693281	0.271182892971096	0.269515894653	-0.00166699831809619
0.25902912312164	0.259160053130248	0.385862743673191	0.385609144376597	-0.000253599296593132
0.258190676386045	0.258040282860033	0.303776104195299	0.303626867303706	-0.000149236891592464
0.209824007476643	0.209495071587826	0.279499323142856	0.278793847972886	-0.000705475169970327
0.211241343695487	0.211040525785913	0.383919859059414	0.384350833808828	0.000430974749413893
0.244995465934506	0.244341895009639	0.342221800463975	0.341120201566056	-0.00110159889791916
0.212406899088952	0.212273817338692	0.324653368016391	0.324500599571978	-0.000152768444412477
0.296152762230786	0.296544470060248	0.412730472893574	0.413397717494609	0.000667244601035066
0.206031280547657	0.206263790767068	0.286827253460397	0.288033475509573	0.00120622204917564
0.192919142990522	0.192606492765937	0.340349651115775	0.340849173526656	0.000499522410880748
0.217268529894743	0.217799991198276	0.368799706554374	0.369909867530346	0.00111016097597177
0.268961936374793	0.268712437538509	0.364476340200711	0.363840605749984	-0.000635734450727343
0.202543594000953	0.202664336982988	0.236151733613559	0.236044231700006	-0.000107501913552938
0.232028090770477	0.232062606646893	0.24092683226158	0.24103467274844	0.000107840486859967
0.256829553013413	0.257341050474933	0.279460861486918	0.279873304684604	0.000412443197686241
0.211465873314549	0.211603658945996	0.307188606072213	0.30849922809077	0.00131062201855697
0.193986060572579	0.193783441354612	0.233934824560764	0.233181391953523	-0.000753432607240589
0.217372388602555	0.218147624238243	0.315237320301329	0.317974449378046	0.00273712907671697
0.179934712193924	0.181104241298881	0.224288964474718	0.227658378150665	0.00336941367594773
0.166129126384747	0.166098457989568	0.177367080306322	0.177098696705468	-0.000268383600853545
0.183414410032738	0.183604752951102	0.357109990525493	0.357491140939381	0.000381150413887699
0.214642925419474	0.214949768105575	0.284415416435326	0.284839947153031	0.000424530717705041
0.235765476889799	0.235911367107461	0.538974373576413	0.539400300958988	0.000425927382575297
0.209944538291596	0.210092819662071	0.406956290819143	0.40714210270591	0.000185811886767084
0.233337623005543	0.232870466237763	0.333720817413073	0.332932480583112	-0.000788336829960823
0.281084677191373	0.281314518740927	0.46488923643515	0.465264360525269	0.00037512409011925
0.37487579716325	0.374722267967686	0.429879352186057	0.428504326861379	-0.00137502532467859
0.263748099475411	0.262757031422093	0.339247272064378	0.337510138391027	-0.00173713367335182
0.220981228671124	0.22099338068762	0.216842294720352	0.216929473273928	0.0000871785535756786
0.22024732656777	0.220858538095587	0.331950054504101	0.333942113543972	0.0019920590398711
0.239251232648356	0.23906448722171	0.373276718942098	0.372998820379644	-0.000277898562454526
0.229548574240751	0.229842033035344	0.379035292163742	0.379773967846088	0.000738675682345424
0.268206167264813	0.268485896914254	0.381251202024942	0.381874274019896	0.000623071994953317
0.2848875578817	0.285169139524111	0.291753496388956	0.292420006113353	0.000666509724396802
0.167877490337337	0.167422813409222	0.285655277571106	0.284371288713457	-0.00128398885764924
0.320386189329167	0.320428520413228	0.31513640709585	0.315265688384764	0.000129281288914207
0.187798072898109	0.187936611797645	0.35037866682321	0.3506490445195	0.000270377696290347
