Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_Flyway_Pas_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_Flyway_Pas_R	Univariate_LR_delta_R2_Flyway_Pas_R
0.500384782454601	0.417214569435311	0.529724608852601	0.477833585220789	-0.0518910236318121
0.598734101977677	0.494331925474658	0.310465847319546	0.264870811533893	-0.0455950357856523
0.397733803848193	0.339784410757336	0.362807603232674	0.329930804695325	-0.0328767985373489
0.379702274638744	0.31414491543832	0.39258871916929	0.352448237011246	-0.0401404821580443
0.475676014185618	0.393535955912978	0.475778044516905	0.422768094420003	-0.0530099500969026
0.481567273429568	0.379905452318472	0.362777139823593	0.297794869983645	-0.0649822698399471
0.426731519872568	0.36069027610196	0.456431413562904	0.414898544539743	-0.0415328690231617
0.402994589428909	0.339789091653172	0.375760211549618	0.341529996994834	-0.0342302145547839
0.556105674539595	0.476891409286011	0.543590561639994	0.492126876522154	-0.0514636851178402
0.485652799017552	0.416458882262804	0.532394677901439	0.496050955416097	-0.036343722485342
0.389239481185579	0.321297826742989	0.420633095893462	0.365797695140054	-0.0548354007534078
0.406869850896763	0.35227307834037	0.523663905674913	0.47868764802653	-0.0449762576483835
0.724099687231873	0.603560916075568	0.439337421967761	0.387523322534889	-0.0518140994328713
0.69184430446921	0.583472760651769	0.441242287796801	0.389496976894293	-0.0517453109025084
0.406754153301763	0.335891264147675	0.338779133681712	0.310533867051986	-0.028245266629726
0.622013404250828	0.520902676235293	0.386967759624676	0.383556013907599	-0.00341174571707675
0.4644906836007	0.409239090047931	0.616330709938815	0.568755453199659	-0.0475752567391555
0.474161031452312	0.411111846687844	0.365748978641581	0.325337748403455	-0.0404112302381262
0.484134689476405	0.400386991580997	0.404365580607366	0.341842420214211	-0.0625231603931546
0.406192443450864	0.331531133582135	0.410402333426672	0.360275096249959	-0.050127237176713
0.431673433897665	0.373240340132521	0.481153094265713	0.432710011118397	-0.048443083147316
0.435906408808703	0.368640060503732	0.578256834263428	0.517071735348993	-0.0611850989144348
0.482186160281811	0.397684920537761	0.463957806884237	0.403724253669163	-0.0602335532150735
0.35047244626973	0.293252073101717	0.450195550687902	0.405523756654328	-0.0446717940335739
0.456026497921207	0.372858883576308	0.411078775608758	0.353292348412606	-0.0577864271961515
