Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_bird_richness_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_bird_richness_C	Univariate_LR_delta_R2_bird_richness_C
0.617798841296427	94.7911414543596	0.537975740463284	0.54666622906182	0.00869048859853672
0.39491780762969	61.4416332989229	0.509016472028207	0.521909093326113	0.0128926212979061
0.503861311265934	83.0000944050937	0.284584787912831	0.322701923889278	0.0381171359764467
0.313130176692773	50.4474139735828	0.45043019336702	0.452028783605449	0.00159859023842807
0.2960480136654	46.3125672184154	0.291081477974757	0.286740923174142	-0.00434055480061518
0.221811755858304	34.2897082661238	0.358656709338944	0.339969089473996	-0.0186876198649484
0.509616675866764	80.0293770230385	0.49205264382865	0.47912847772179	-0.0129241661068596
0.3858969221597	62.1200200710146	0.516587722147803	0.515308923403326	-0.00127879874447745
0.216177382293736	33.1639821920635	0.124792581466116	0.121233618096817	-0.00355896336929978
0.195706959663436	31.4147677413134	0.174934629869033	0.17868136597496	0.0037467361059266
0.279597281225989	41.468858668716	0.178080781733211	0.165626413624653	-0.012454368108558
0.259835895944139	41.5087932834415	0.479312743951603	0.471389748945582	-0.00792299500602112
0.246280361355244	38.2428112657431	0.303178321703536	0.293339420639967	-0.00983890106356872
0.307604747120565	47.8473243684967	0.449842190186983	0.439458700023898	-0.0103834901630844
0.273731239502281	43.1324282020705	0.243991111625342	0.253975808224654	0.00998469659931131
0.172530943703949	26.9976201237881	0.14670094840778	0.139839391045478	-0.0068615573623021
0.154127888557084	24.6428495502297	0.0875582567122582	0.0875556915203456	-2.56519191262072e-06
0.368510823722806	60.0920920963276	0.343026055587084	0.341062457713347	-0.00196359787373673
0.310972867719034	50.6266110044521	0.465664085214074	0.47892347816679	0.0132593929527155
0.206973914350734	32.1527535384936	0.396532760555535	0.392762858812753	-0.00376990174278263
0.200683997424366	30.9548874755962	0.107370131889094	0.10350326115431	-0.00386687073478376
0.201679296693551	31.9537707958815	0.158861528897056	0.155992200899699	-0.0028693279973572
0.365504889903421	56.7826114854023	0.541127062063415	0.530345392387595	-0.0107816696758199
0.212858618691697	33.615175770194	0.414164038474564	0.402186879001196	-0.0119771594733679
0.391948270976584	64.0642378121861	0.476311752300222	0.483708866242463	0.00739711394224035
0.535429202284842	78.7654985104157	0.142248898609282	0.132186294101816	-0.0100626045074664
0.296088406835977	43.9277403243569	0.28646599418517	0.259484997275037	-0.0269809969101333
0.22638509806183	35.8867975104011	0.0960248815988756	0.0911952377018934	-0.00482964389698214
0.402873609188423	64.8158841620943	0.368512217390647	0.389627501403279	0.0211152840126321
0.487499303222733	73.2097487341902	0.268624485749825	0.249058798067938	-0.0195656876818869
0.261155292160832	40.2478267199075	0.235662978247959	0.226981731988678	-0.00868124625928113
0.539984339202642	83.0360576095594	0.65949128431068	0.62091920065133	-0.0385720836593505
0.454928406756094	70.9061415270868	0.314386386294044	0.300098849810659	-0.0142875364833845
0.134472932497261	20.3852960148025	0.151794358698075	0.134936401332121	-0.0168579573659541
0.294183969557244	44.5394778573317	0.278860320501059	0.249120646319091	-0.0297396741819676
0.306127405305324	46.8014519985256	0.37526964503558	0.360919215016757	-0.0143504300188226
0.324359435493352	53.0688555132771	0.500886836661445	0.526011204056714	0.0251243673952695
0.48321074202989	73.8275484724687	0.460465157005229	0.43896853508087	-0.0214966219243591
0.3180012345704	49.8334921432575	0.368152748001801	0.371774381433098	0.00362163343129684
0.497629254523881	76.1659058345209	0.22203281296924	0.223283691143834	0.00125087817459343
0.384420671978582	62.8452333955971	0.201233187902622	0.211556940455474	0.0103237525528519
0.322141563645542	51.4902259294753	0.178045286199187	0.180319375580182	0.00227408938099566
0.267494366354001	41.7467736029323	0.267698237873384	0.255031543260518	-0.0126666946128657
0.140157585485379	22.4229008328838	0.105453088273363	0.105996684197022	0.00054359592365906
0.180172236755134	29.9709916555935	0.169238890976745	0.17905109652363	0.00981220554688422
0.194117112457513	31.8438174735422	0.0577245620124772	0.0631140175908913	0.00538945557841405
0.186453741298235	29.0636421520119	0.158978516025439	0.151371641942722	-0.0076068740827176
0.272352795109536	45.1559354138088	0.351919090867727	0.355398771649937	0.00347968078220984
0.373833007757716	57.2618452845258	0.376735367821785	0.379603221138738	0.00286785331695316
0.264942515692911	42.5049807916599	0.491101765533999	0.497414190119379	0.00631242458537995
0.173953875297784	25.9593110370115	0.116832347125749	0.0999672756444671	-0.0168650714812817
0.277736392557488	45.5619940814037	0.321749088171718	0.326318379348451	0.00456929117673222
0.328744988751261	50.6995165743597	0.433061175805186	0.423144854121038	-0.00991632168414769
0.547520536020684	87.3562437489668	0.551217611839817	0.54769705263883	-0.00352055920098693
0.484257175039221	72.7442145882183	0.487087712990287	0.476176221612858	-0.0109114913774288
0.34284798880337	54.349740927239	0.600397812166994	0.606786431564581	0.00638861939758728
0.255575891956676	39.8518232465519	0.315320281537149	0.302883539186163	-0.0124367423509865
0.287359238654011	46.4574595002964	0.290877475147837	0.282381507168777	-0.0084959679790606
0.406789396233742	67.0175831536656	0.472913331793935	0.513776163970476	0.0408628321765411
0.428946182822983	63.7972693201541	0.292447529246697	0.273876143186048	-0.0185713860606485
0.648042283322667	101.531732018574	0.469346850178309	0.474195042121917	0.00484819194360814
0.249013336384748	40.7517110229794	0.228936119169243	0.231572805995566	0.00263668682632293
0.624117087282601	103.825919691561	0.193158191919324	0.210895612354295	0.017737420434971
0.362517156168027	57.8288223403885	0.444059282904977	0.423519418684071	-0.0205398642209054
