time	95%HPD_lower_value	95%HPD_higher_value
1980.93211092498	0	0
1981.33983091162	0	0
1981.74755089826	0	0
1982.1552708849	0	0
1982.56299087154	0	8.27942468281932
1982.97071085818	0	20.399765743775
1983.37843084482	0	28.4686683620798
1983.78615083146	0	35.5558598977913
1984.1938708181	0	42.6419655669354
1984.60159080475	0	49.7269841382345
1985.00931079139	0	72.8484170448467
1985.41703077803	0	86.6762728088442
1985.82475076467	0	104.999551065943
1986.23247075131	0	117.050350237932
1986.64019073795	0	129.092371352319
1987.04791072459	0	141.125595361804
1987.45563071123	0	153.150003192702
1987.86335069787	0	165.165575745441
1988.27107068451	0	177.172293894098
1988.67879067115	0	189.170138486643
1989.08651065779	0	201.15909034499
1989.49423064443	0	213.139130264741
1989.90195063107	0	225.488491639162
1990.30967061771	0	244.389806963087
1990.71739060435	0	263.313736880825
1991.125110591	0	282.260202371029
1991.53283057764	0	301.229124575246
1991.94055056428	0	320.220424797938
1992.34827055092	0	339.234024506421
1992.75599053756	0	358.269845330734
1993.1637105242	0	374.126711566455
1993.57143051084	0	385.033612851625
1993.97915049748	0	395.961611017597
1994.38687048412	0	408.054789454918
1994.79459047076	0	427.722191154887
1995.2023104574	0	440.44170624014
1995.61003044404	0	449.294444025185
1996.01775043068	0	458.153149828645
1996.42547041732	0	465.362187790307
1996.83319040396	0	472.884171129225
1997.2409103906	0	481.422432175845
1997.64863037724	0	488.886718864132
1998.05635036389	0	505.999645281845
1998.46407035053	0	517.049994098303
1998.87179033717	47.0608117194563	528.104908648208
1999.27951032381	72.051290750534	539.163670013516
1999.68723031045	72.4588275467564	550.225616007164
2000.09495029709	93.9344584525818	561.290135626418
2000.50267028373	123.082251693431	573.540166669885
2000.91039027037	139.212276961622	573.540166669885
2001.31811025701	162.413552116784	594.493694545613
2001.72583024365	184.581521860373	605.563261381499
2002.13355023029	200.966677333446	616.632960430481
2002.54127021693	214.166429915963	627.702401590968
2002.94899020357	227.133291733721	638.771220964876
2003.35671019021	240.599126816413	649.839078623829
2003.76443017685	264.300101295625	660.905656598225
2004.17215016349	270.571874273065	672.099095265086
2004.57987015013	276.840916888466	690.878440394726
2004.98759013678	276.840916888466	715.649304989311
2005.39531012342	295.294026594335	729.364084318386
2005.80303011006	313.621112296777	729.364084318386
2006.2107500967	313.621112296777	738.570707507083
2006.61847008334	313.621112296777	753.660576230165
2007.02619006998	354.956242788528	805.533060819602
2007.43391005662	383.967096088432	839.170868565221
2007.84163004326	399.839101214325	872.893620692343
2008.2493500299	392.623209368121	857.513131010614
2008.65707001654	397.125326392516	868.935060213616
2009.06479000318	405.467093616719	889.456830085155
2009.47250998982	458.377302205321	942.021063170709
2009.88022997646	479.869110174979	909.633894330302
2010.2879499631	507.360202813247	919.72441833129
2010.69566994974	513.634999395671	957.920700686651
2011.10338993638	513.634999395671	983.455842066314
2011.51110992302	529.957492719035	998.855805121041
2011.91882990967	529.957492719035	1014.30996780274
2012.32654989631	532.669053569826	1029.81559870392
2012.73426988295	572.583391189315	1057.58599029113
2013.14198986959	574.590469053694	1057.58599029113
2013.54970985623	588.807889910318	1070.58062263239
2013.95742984287	615.13960203637	1104.10107692493
2014.36514982951	615.13960203637	1104.10107692493
2014.77286981615	628.120533826204	1110.89884962906
2015.18058980279	643.083542164929	1130.9775108085
2015.58830978943	658.06983951649	1158.05760216934
2015.99602977607	652.49065489629	1153.52356327859
2016.40374976271	671.457545783931	1156.77011192223
2016.81146974935	680.478339304212	1156.77011192223
2017.21918973599	714.278849589184	1194.65926932368
2017.62690972263	682.35262895713	1169.60032559689
2018.03462970927	745.42328655109	1221.76329675539
2018.44234969592	766.673329490053	1280.92298115386
2018.85006968256	799.28306008425	1331.07027246819
2019.2577896692	861.639934557432	1413.16772906745
2019.66550965584	861.639934557432	1413.16772906745
2020.07322964248	861.639934557432	1413.16772906745
2020.48094962912	861.639934557432	1413.16772906745
2020.88866961576	861.639934557432	1413.16772906745
2021.2963896024	861.639934557432	1413.16772906745
2021.70410958904	861.639934557432	1413.16772906745
