time	distance
1940.74598219329	0
1941.57696072752	0
1942.40793926175	0
1943.23891779598	0
1944.06989633022	0
1944.90087486445	0
1945.73185339868	0
1946.56283193291	0
1947.39381046714	0
1948.22478900137	0
1949.05576753561	0
1949.88674606984	0
1950.71772460407	0
1951.5487031383	0
1952.37968167253	0
1953.21066020676	0
1954.04163874099	0
1954.87261727523	0
1955.70359580946	0
1956.53457434369	0
1957.36555287792	0
1958.19653141215	0
1959.02750994638	0
1959.85848848061	0
1960.68946701485	0
1961.52044554908	0
1962.35142408331	0
1963.18240261754	0
1964.01338115177	0
1964.844359686	0
1965.67533822024	0
1966.50631675447	0
1967.3372952887	0
1968.16827382293	0
1968.99925235716	0
1969.83023089139	0
1970.66120942562	0
1971.49218795986	0
1972.32316649409	0
1973.15414502832	0
1973.98512356255	0
1974.81610209678	0
1975.64708063101	0
1976.47805916524	0
1977.30903769948	0
1978.14001623371	0
1978.97099476794	0
1979.80197330217	0
1980.6329518364	0
1981.46393037063	0
1982.29490890486	0
1983.1258874391	0
1983.95686597333	0
1984.78784450756	0
1985.61882304179	0
1986.44980157602	0
1987.28078011025	7.52398140124519
1988.11175864449	34.4338327644759
1988.94273717872	55.5058918441522
1989.77371571295	76.1119054457361
1990.60469424718	85.5668374162356
1991.43567278141	97.3489767321244
1992.26665131564	117.408653132132
1993.09762984987	135.5931552149
1993.92860838411	157.925626731313
1994.75958691834	179.694918515549
1995.59056545257	202.240309657314
1996.4215439868	245.860697041747
1997.25252252103	283.266930167866
1998.08350105526	305.451478820449
1998.91447958949	349.467300399117
1999.74545812373	402.131804083672
2000.57643665796	442.265483241834
2001.40741519219	512.586633053904
2002.23839372642	559.889417036533
2003.06937226065	636.083449439682
2003.90035079488	702.535602572251
2004.73132932912	776.59747555147
2005.56230786335	852.582855249806
2006.39328639758	928.972013627688
2007.22426493181	938.312618817202
2008.05524346604	976.100682119894
2008.88622200027	1037.8135305673
2009.7172005345	1116.77496695845
2010.54817906874	1171.71558026378
2011.37915760297	1266.10611967651
2012.2101361372	1362.90192693441
2013.04111467143	1432.3073330417
2013.87209320566	1531.82180034822
2014.70307173989	1620.46885932092
2015.53405027412	1742.35507387647
2016.36502880836	1783.56955778946
2017.19600734259	1849.57053333327
2018.02698587682	1903.03036183545
2018.85796441105	1963.41525708843
2019.68894294528	2031.79555582438
2020.51992147951	2090.04474570226
2021.35090001375	2165.76466642385
2022.18187854798	2243.49616969815
2023.01285708221	2363.7867256099
2023.84383561644	2363.7867256099
