Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_wetland_other_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_wetland_other_R	Univariate_LR_delta_R2_wetland_other_R
0.500384782454601	0.499193559707187	0.529724608852601	0.530700866889629	0.000976258037028277
0.598734101977677	0.59648690698005	0.310465847319546	0.309292697710768	-0.00117314960877729
0.397733803848193	0.397499357938919	0.362807603232674	0.36388010310512	0.00107249987244629
0.379702274638744	0.37997329366835	0.39258871916929	0.39287126137244	0.00028254220314966
0.475676014185618	0.474674504415078	0.475778044516905	0.476108246477637	0.000330201960732135
0.481567273429568	0.48171477590663	0.362777139823593	0.362992759146693	0.000215619323100824
0.426731519872568	0.425629725257415	0.456431413562904	0.454713454043184	-0.00171795951972015
0.402994589428909	0.401100483927483	0.375760211549618	0.372863842898059	-0.00289636865155851
0.556105674539595	0.556319567140843	0.543590561639994	0.543121274998333	-0.000469286641660904
0.485652799017552	0.486969715747879	0.532394677901439	0.535372493180946	0.00297781527950736
0.389239481185579	0.389543105593335	0.420633095893462	0.419663742761477	-0.000969353131984763
0.406869850896763	0.405267435746071	0.523663905674913	0.522147094557056	-0.00151681111785706
0.724099687231873	0.721572956137096	0.439337421967761	0.437213852519029	-0.00212356944873154
0.69184430446921	0.691996035174579	0.441242287796801	0.441295358847374	0.0000530710505727283
0.406754153301763	0.405513503214532	0.338779133681712	0.336510483089835	-0.00226865059187709
0.622013404250828	0.623285596765556	0.386967759624676	0.38640905018575	-0.000558709438925331
0.4644906836007	0.463020296005888	0.616330709938815	0.61614446683715	-0.000186243101664374
0.474161031452312	0.474432970604948	0.365748978641581	0.366495356917858	0.000746378276277604
0.484134689476405	0.482429644954292	0.404365580607366	0.403599579482343	-0.000766001125023008
0.406192443450864	0.405468347797806	0.410402333426672	0.410097792036324	-0.000304541390348578
0.431673433897665	0.430835991224906	0.481153094265713	0.481911409671409	0.000758315405696819
0.435906408808703	0.438122748803928	0.578256834263428	0.583249405032769	0.00499257076934134
0.482186160281811	0.480419492923642	0.463957806884237	0.462404523157193	-0.00155328372704444
0.35047244626973	0.350823733846342	0.450195550687902	0.451781362418437	0.00158581173053474
0.456026497921207	0.456322603610362	0.411078775608758	0.412217741600057	0.00113896599129948
0.498496156873473	0.496659256107235	0.368703749461164	0.366996231524508	-0.00170751793665663
0.429520856533532	0.429316896603364	0.469670388365547	0.471183414404524	0.00151302603897718
0.549097979092012	0.550117815617205	0.458935834449754	0.459068251408594	0.000132416958839809
0.393824641263865	0.393337412248559	0.336190937411826	0.336611140014357	0.000420202602530839
0.363273053838869	0.360160222062237	0.432840580789488	0.42774364188553	-0.00509693890395785
0.40823964259397	0.410039680747858	0.421260825303892	0.426030720469531	0.00476989516563819
0.362557138031507	0.3620782736829	0.39535641686789	0.39481259278777	-0.000543824080119992
0.350429342803703	0.348252563654981	0.408250401668753	0.406880414542448	-0.00136998712630465
0.38654895135973	0.383660555106804	0.468821021312595	0.465799405274287	-0.00302161603830786
0.350262757682986	0.351576843683314	0.426564492835173	0.430845952361148	0.00428145952597497
0.384003525015585	0.385049942819794	0.460603493204345	0.460789246904888	0.000185753700542912
0.782976204893794	0.782794900851822	0.517983684916841	0.517097277216694	-0.000886407700147029
0.429921587824571	0.427093631574795	0.42763785839022	0.423862373436701	-0.00377548495351904
0.601550419709332	0.601886833828566	0.271673010477295	0.272068325508918	0.000395315031622934
0.437938487407643	0.442584775513555	0.350973545675491	0.358747449465787	0.0077739037902958
0.463057526076243	0.464148231317342	0.49810171486629	0.498599832846904	0.000498117980614277
0.570633711838618	0.570559684407733	0.367523319253551	0.366690673827125	-0.000832645426426137
0.471344825821115	0.472155336423408	0.504167203690353	0.5067447505475	0.00257754685714784
0.291484590419602	0.291104019997169	0.278041608887947	0.278333049637019	0.000291440749071836
0.349076385844539	0.348299566856067	0.328629981761808	0.326717921307816	-0.00191206045399189
0.352169866054658	0.352248917101784	0.423838106044178	0.424305431943125	0.000467325898946491
0.637857495274072	0.637435292768363	0.306167313362339	0.305893877241056	-0.000273436121283555
0.518247310515415	0.517129943692615	0.408857281480034	0.406360974511677	-0.00249630696835751
0.458480056801202	0.458900180178397	0.344433985112679	0.343827331121059	-0.00060665399162052
0.595715418574304	0.595472841595191	0.466525849208692	0.465709980262431	-0.000815868946260567
0.425908958064217	0.42590909745491	0.492623525085882	0.492873077515431	0.000249552429548661
0.365895239883394	0.363728389238771	0.436113431006194	0.434067975383746	-0.00204545562244796
0.523599875767326	0.522664035769937	0.371771529138599	0.370949565705961	-0.000821963432637907
0.592195918894034	0.588486552075794	0.48605633152856	0.485776882461873	-0.000279449066687143
0.433339764031122	0.43302037815395	0.295232197681011	0.294604110148458	-0.000628087532553112
0.41790951774112	0.417108863062847	0.528077663948426	0.525737134438397	-0.0023405295100285
0.425658940868453	0.425330520914446	0.32385053316737	0.323654600002437	-0.000195933164932827
0.5183700882234	0.515292883159952	0.443814065198077	0.444663404510866	0.000849339312789132
0.614880193416137	0.616096784708919	0.431971863847771	0.432619727172859	0.000647863325088038
0.624781515668878	0.623640896324498	0.328097817182146	0.327165584552684	-0.00093223262946257
0.492453529719684	0.489927459293251	0.544958969249247	0.541297894483198	-0.00366107476604904
0.638426167714997	0.638735267333862	0.464959786668546	0.465915572797861	0.000955786129315572
0.513830948050231	0.513316762128164	0.544148933071556	0.543328938934097	-0.000819994137459257
0.421179212400409	0.420468151042458	0.234546411804383	0.232055506352447	-0.00249090545193609
0.539746120624576	0.538519545614596	0.503260395367419	0.500974190684844	-0.00228620468257534
