Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_pre_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_pre_R	Univariate_LR_delta_R2_pre_R
0.500384782454601	0.0155117774152289	0.529724608852601	0.555785163856211	0.02606055500361
0.598734101977677	0.0182857327821622	0.310465847319546	0.344891299287448	0.0344254519679019
0.397733803848193	0.0123367012821251	0.362807603232674	0.356968000310654	-0.00583960292201963
0.379702274638744	0.0119837316364992	0.39258871916929	0.36098288626857	-0.0316058329007203
0.475676014185618	0.0151427902487599	0.475778044516905	0.501912324161565	0.0261342796446601
0.481567273429568	0.0154468769957895	0.362777139823593	0.425407686249088	0.0626305464254958
0.426731519872568	0.0135865834401508	0.456431413562904	0.505965312157693	0.0495338985947885
0.402994589428909	0.0125218035290461	0.375760211549618	0.357020621995185	-0.0187395895544327
0.556105674539595	0.0163034648334119	0.543590561639994	0.51083396946174	-0.0327565921782541
0.485652799017552	0.0147367498140637	0.532394677901439	0.518389422290052	-0.0140052556113873
0.389239481185579	0.0126538732417992	0.420633095893462	0.452775616709724	0.0321425208162617
0.406869850896763	0.013088109538851	0.523663905674913	0.541586176778214	0.0179222711033009
0.724099687231873	0.0214977760088588	0.439337421967761	0.455902573304502	0.0165651513367415
0.69184430446921	0.0230779370075284	0.441242287796801	0.500257483650921	0.0590151958541194
0.406754153301763	0.0132487637252319	0.338779133681712	0.353055202412236	0.0142760687305239
0.622013404250828	0.0193133170183637	0.386967759624676	0.383572425748352	-0.00339533387632329
0.4644906836007	0.0152177626246536	0.616330709938815	0.634544758461777	0.018214048522962
0.474161031452312	0.0162396820029037	0.365748978641581	0.431721019464625	0.0659720408230443
0.484134689476405	0.0150554375709856	0.404365580607366	0.430974609683667	0.026609029076301
0.406192443450864	0.0131856788440794	0.410402333426672	0.421464197903119	0.0110618644764464
0.431673433897665	0.0132902195426615	0.481153094265713	0.436757425856377	-0.0443956684093355
0.435906408808703	0.0139467033779449	0.578256834263428	0.592527778288274	0.0142709440248461
0.482186160281811	0.0145250762166108	0.463957806884237	0.496752761863166	0.0327949549789294
0.35047244626973	0.0106141531945634	0.450195550687902	0.472146186480577	0.0219506357926748
0.456026497921207	0.0161208849900358	0.411078775608758	0.461880298452226	0.0508015228434683
0.498496156873473	0.0166649482817905	0.368703749461164	0.415627648097842	0.0469238986366779
0.429520856533532	0.0133785144942923	0.469670388365547	0.464508117983094	-0.00516227038245276
0.549097979092012	0.0194372921410401	0.458935834449754	0.519469631345614	0.0605337968958596
0.393824641263865	0.0128272509585034	0.336190937411826	0.3250161377061	-0.011174799705726
0.363273053838869	0.0111881921783568	0.432840580789488	0.393392265166561	-0.0394483156229272
0.40823964259397	0.0120509188694687	0.421260825303892	0.420641917116961	-0.000618908186931777
0.362557138031507	0.0109972040656334	0.39535641686789	0.366577003257318	-0.0287794136105721
