time	distance
1947.56213374452	0
1948.32516994132	0.122790374227986
1949.08820613812	0.245501090115939
1949.85124233492	0.368131968779221
1950.61427853173	0.490682831078274
1951.37731472853	0.613153497621038
1952.14035092533	0.870007289456064
1952.90338712213	1.21495030152986
1953.66642331893	1.77872680344326
1954.42945951573	2.42844371226784
1955.19249571253	3.07818878320286
1955.95553190934	3.72796104203935
1956.71856810614	4.4016454096199
1957.48160430294	5.18816705764395
1958.24464049974	5.97473619871649
1959.00767669654	6.82247170827305
1959.77071289334	7.96770933092631
1960.53374909014	9.19310547818735
1961.29678528695	10.4183935683597
1962.05982148375	11.6435721145747
1962.82285768055	12.8686396295551
1963.58589387735	14.0935946256898
1964.34893007415	15.3184356149817
1965.11196627095	16.6025155414035
1965.87500246775	17.9579336407772
1966.63803866456	19.4575655648811
1967.40107486136	21.3284169425283
1968.16411105816	23.6734149563393
1968.92714725496	26.3247233612087
1969.69018345176	29.2713108772124
1970.45321964856	32.2179886911996
1971.21625584536	35.2927741671066
1971.97929204216	38.6662971974523
1972.74232823897	42.9160710439114
1973.50536443577	47.3135496195454
1974.26840063257	51.8961328256253
1975.03143682937	56.6432065481141
1975.79447302617	61.6289344100869
1976.55750922297	66.9800759536305
1977.32054541977	72.8596284327069
1978.08358161658	79.1748208350596
1978.84661781338	85.9659926127002
1979.60965401018	93.0218901842988
1980.37269020698	100.358527286574
1981.13572640378	108.131277683542
1981.89876260058	116.465154706509
1982.66179879738	125.18363375694
1983.42483499419	134.113636350881
1984.18787119099	143.620204429544
1984.95090738779	153.355037349018
1985.71394358459	164.041166982518
1986.47697978139	174.810081930964
1987.24001597819	185.807075806599
1988.00305217499	197.652337875661
1988.7660883718	209.835589916706
1989.5291245686	222.828396947333
1990.2921607654	238.353425561912
1991.0551969622	254.746135604653
1991.818233159	274.156888804282
1992.5812693558	299.037799325118
1993.3443055526	327.083091585218
1994.10734174941	357.046057045357
1994.87037794621	388.95306626823
1995.63341414301	423.380229946265
1996.39645033981	466.068376850453
1997.15948653661	510.42898275668
1997.92252273341	557.087581077393
1998.68555893021	608.203856297741
1999.44859512702	668.367855017685
2000.21163132382	734.99315875644
2000.97466752062	806.380633072099
2001.73770371742	858.859267976603
2002.50073991422	909.546935188304
2003.26377611102	953.823500304313
2004.02681230782	996.173941606043
2004.78984850462	1038.37373240513
2005.55288470143	1073.22569981559
2006.31592089823	1105.79323836207
2007.07895709503	1143.09458246518
2007.84199329183	1189.16110726162
2008.60502948863	1244.45979583436
2009.36806568543	1316.6575554809
2010.13110188223	1399.42644154987
2010.89413807904	1507.57128940315
2011.65717427584	1618.63930612263
2012.42021047264	1689.84988428976
2013.18324666944	1770.49371693809
2013.94628286624	1854.99688840737
2014.70931906304	1945.57090410195
2015.47235525984	2041.99936713999
2016.23539145665	2144.63293198682
2016.99842765345	2242.209694412
2017.76146385025	2335.26942492309
2018.52450004705	2427.18988499302
2019.28753624385	2513.39224860363
2020.05057244065	2566.37863814211
2020.81360863745	2573.26137608521
2021.57664483426	2581.61425172428
2022.33968103106	2597.60952143003
2023.10271722786	2597.60952143003
2023.86575342466	2597.60952143003
