Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_Shrubs_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_Shrubs_C	Univariate_LR_delta_R2_Shrubs_C
0.509348634063282	0.527624592751451	0.501592752472326	0.160940328555095	-0.340652423917231
0.161277939848129	0.16391792201174	0.128795083744666	0.118233818960965	-0.010561264783701
0.315069315823578	0.382446062159548	0.171460156214606	0.103987468749773	-0.0674726874648337
0.181228010384823	0.190034137863569	0.194462916269028	0.136663426207251	-0.0577994900617771
0.0807262044704342	0.078641517362147	0.0155085973033488	0.00940689178058298	-0.00610170552276582
0.264527871520785	0.24312453504889	0.335467567228521	0.212572854027595	-0.122894713200926
0.351783052979205	0.434799752745064	0.392980579391446	0.346437302609891	-0.0465432767815543
0.266439706225198	0.314284119774432	0.307177978213235	0.155033509708065	-0.15214446850517
0.200535996575834	0.104162681117759	0.129583487887477	0.0215593175956643	-0.108024170291812
0.285993986073786	0.164575078601542	0.414382956180605	0.0618466202874623	-0.352536335893143
0.389843653990515	0.368902579274562	0.233513714640596	0.0717621100630617	-0.161751604577534
0.28978942822516	0.194339187457907	0.0860889049763043	0.0187174483016239	-0.0673714566746803
0.203299055438912	0.172260119393755	0.160772201373582	0.0791349159132238	-0.081637285460358
0.246282500717424	0.217597609241716	0.213465450274872	0.134955845647233	-0.0785096046276387
0.228643762567207	0.192447011639858	0.156573133785999	0.0880453104772576	-0.0685278233087418
0.0951818943085608	0.0438878234988347	0.0173173966451589	0.00255892567556819	-0.0147584709695908
0.325869211709431	0.120930042981883	0.477480433085215	0.0259612377003248	-0.45151919538489
0.329931354673836	0.421206792813011	0.263121542323268	0.223592650841628	-0.0395288914816399
0.357355679266791	0.353516784423284	0.72968425213064	0.233870220131591	-0.495814031999048
0.0595397877392208	0.052861215699076	0.0182528021468278	0.00859992136688437	-0.00965288077994345
0.258026002031862	0.244974715240513	0.144083455553165	0.0732814444924925	-0.0708020110606725
0.287675192226792	0.26183443115765	0.570973876532829	0.195797548757661	-0.375176327775168
0.458449070804559	0.573518216278766	0.548233437375058	0.209098563656912	-0.339134873718146
0.216714014042273	0.208422912001087	0.159776713300561	0.0742665164489212	-0.0855101968516394
0.543467409014854	0.739010124720372	0.353862621749971	0.210575750371221	-0.143286871378751
0.532350643706609	0.391148858247581	0.474401068708889	0.157681267717702	-0.316719800991186
0.0956356568589826	0.0644258774503158	0.0352525975724388	0.0111510294603936	-0.0241015681120452
0.410587611235948	0.280235528513085	0.460330754989065	0.131855328709894	-0.328475426279172
0.45643201535401	0.588295920329395	0.347806990861149	0.287095862747589	-0.0607111281135598
