time	95%HPD_lower_value	95%HPD_higher_value
1980.93211092498	0	0
1981.33983091162	0	0
1981.74755089826	0	0
1982.1552708849	0	0
1982.56299087154	0	8.27942468281932
1982.97071085818	0	20.399765743775
1983.37843084482	0	28.4686683620798
1983.78615083146	0	35.5558598977913
1984.1938708181	0	42.6419655669354
1984.60159080475	0	49.7269841382345
1985.00931079139	0	72.8484170448467
1985.41703077803	0	86.6762728088442
1985.82475076467	0	104.999551065943
1986.23247075131	0	117.050350237932
1986.64019073795	0	129.092371352319
1987.04791072459	0	141.125595361804
1987.45563071123	0	153.150003192702
1987.86335069787	0	165.165575745441
1988.27107068451	0	177.172293894098
1988.67879067115	0	189.170138486643
1989.08651065779	0	201.15909034499
1989.49423064443	0	213.139130264741
1989.90195063107	0	225.488491639162
1990.30967061771	0	244.389806963087
1990.71739060435	0	263.313736880825
1991.125110591	0	282.260202371029
1991.53283057764	0	301.229124575246
1991.94055056428	0	320.220424797938
1992.34827055092	0	339.234024506421
1992.75599053756	0	358.269845330734
1993.1637105242	0	377.327809063719
1993.57143051084	0	396.407837660761
1993.97915049748	0	415.509853239844
1994.38687048412	0	434.63377808146
1994.79459047076	0	453.102298491002
1995.2023104574	0	463.986069694171
1995.61003044404	0	478.414940933273
1996.01775043068	0	503.765213593473
1996.42547041732	0	530.10120291806
1996.83319040396	0	556.473913763513
1997.2409103906	0	582.883157419554
1997.64863037724	0	609.328745609575
1998.05635036389	0	644.161317230741
1998.46407035053	0	687.318191698658
1998.87179033717	50.0336457596686	719.759585940987
1999.27951032381	104.979462925409	744.069668568263
1999.68723031045	138.674751405567	784.041170811347
2000.09495029709	178.458993044215	821.714816766445
2000.50267028373	220.9694431717	868.043268584249
2000.91039027037	242.083166978538	899.085497207357
2001.31811025701	269.656421269346	937.666533788566
2001.72583024365	261.464144951162	945.783965006511
2002.13355023029	358.679818688616	1021.92347112701
2002.54127021693	388.187939982774	1052.98577507481
2002.94899020357	409.341303155704	1071.14919910873
2003.35671019021	423.628167732648	1112.20697790792
2003.76443017685	428.48063901773	1111.87865292561
2004.17215016349	464.514489848705	1145.98989695198
2004.57987015013	500.550042423791	1180.10132119188
2004.98759013678	542.77217703555	1214.21292479236
2005.39531012342	532.894098732535	1219.1765976683
2005.80303011006	542.77217703555	1262.58039876373
2006.2107500967	556.246507465351	1285.27012332456
2006.61847008334	574.411692565123	1319.26185476016
2007.02619006998	569.754712418821	1343.65795122607
2007.43391005662	592.214145066444	1383.23382959788
2007.84163004326	669.058886579549	1457.41734818264
2008.2493500299	714.009922149935	1487.11210814466
2008.65707001654	746.214774724097	1523.99699392745
2009.06479000318	764.212672961789	1555.33863780892
2009.47250998982	861.483498323455	1658.0553745262
2009.88022997646	958.387571368542	1755.69502682604
2010.2879499631	1011.56650405669	1839.17029175101
2010.69566994974	1016.73766500757	1871.85374671415
2011.10338993638	1017.08988703616	1871.85374671415
2011.51110992302	1063.79501828104	1873.67807851359
2011.91882990967	1063.79501828104	1960.56549018584
2012.32654989631	1013.9446984028	1939.42205714933
2012.73426988295	1046.36776636155	2010.52149993028
2013.14198986959	1117.11034903291	2136.92178089583
2013.54970985623	1117.11034903291	2136.92178089583
2013.95742984287	1157.27442300571	2171.87357493627
2014.36514982951	1195.68520790118	2243.73377963338
2014.77286981615	1277.94310203801	2367.06840769303
2015.18058980279	1371.82949133095	2508.66141589685
2015.58830978943	1375.84121252955	2532.94897384819
2015.99602977607	1283.14556676416	2443.16123104912
2016.40374976271	1342.34167409038	2483.19901363894
2016.81146974935	1401.23450061733	2574.88034498459
2017.21918973599	1459.82073962574	2574.88034498459
2017.62690972263	1518.09706614902	2629.7010669213
2018.03462970927	1548.38580035579	2676.95001252766
2018.44234969592	1633.70659183049	2754.2403915801
2018.85006968256	1691.03305166023	2814.48084305963
2019.2577896692	1713.67368751266	2819.40335719127
2019.66550965584	1645.04410946561	2774.1275212897
2020.07322964248	1645.04410946561	2774.1275212897
2020.48094962912	1645.04410946561	2774.1275212897
2020.88866961576	1645.04410946561	2774.1275212897
2021.2963896024	1645.04410946561	2774.1275212897
2021.70410958904	1645.04410946561	2774.1275212897
