Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_gpri_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_gpri_R	Univariate_LR_delta_R2_gpri_R
0.222819522244156	0.222277522478091	0.225790609005007	0.225454489008032	-0.000336119996975359
0.30323869358435	0.303047194310632	0.251825580364646	0.252344175074792	0.000518594710145981
0.205667273279815	0.205287626036009	0.348586858615999	0.349507227379452	0.000920368763452417
0.198107318385253	0.198066079293907	0.343317142018877	0.345372846171367	0.00205570415248968
0.266017256220056	0.2653118814305	0.373164257482372	0.372488138237971	-0.000676119244400419
0.223004802734047	0.222638628943243	0.452085105192932	0.451600247708804	-0.00048485748412791
0.325693178625149	0.325412581650608	0.469895501528423	0.470597721077923	0.000702219549500449
0.312788566151232	0.312202787251079	0.400137607691373	0.399541156045877	-0.000596451645495544
0.263360018296483	0.263022751417387	0.388001255005143	0.387759320712781	-0.000241934292362467
0.253337589858094	0.252666680647977	0.305782178200249	0.304968653032352	-0.000813525167896345
0.276411448712494	0.276981832738935	0.300161468778702	0.302665078726871	0.00250360994816889
0.163793104152798	0.163248154793295	0.340544575615153	0.340388665810695	-0.000155909804457399
0.21068708672015	0.21033406684181	0.382997249662793	0.382612575304369	-0.000384674358423598
0.205096837255184	0.204429501146136	0.161117493075028	0.160819767199897	-0.000297725875130966
0.201199870827006	0.200802512827064	0.394514784874963	0.394403407107722	-0.000111377767241516
0.260538936296584	0.260667820761785	0.353927097924863	0.356438530851313	0.00251143292645073
0.190867574689895	0.190304028395908	0.333128451153511	0.332446056970385	-0.000682394183126267
0.180410147012328	0.180057434418866	0.219906921992264	0.219861147489069	-0.0000457745031950396
0.255426355962294	0.255106807631698	0.298627472054518	0.29911739542925	0.00048992337473247
0.197287392065138	0.19679405322034	0.225581198976633	0.225321305748342	-0.000259893228291563
0.201639024924044	0.201154619985714	0.338053924833599	0.33739323359828	-0.000660691235318811
0.180680129653145	0.180254218330397	0.222518713436317	0.222090841784287	-0.000427871652030676
0.246080598351616	0.245620393227926	0.472562044388236	0.47314236606701	0.000580321678773477
0.200178833629194	0.200079697650707	0.235506045078312	0.236148063984543	0.000642018906230696
0.269880938946026	0.26948082817965	0.383265300094942	0.38307773975078	-0.000187560344162063
0.180139242829934	0.179965228788382	0.171586484100425	0.172164312807506	0.000577828707081507
0.243953345727508	0.243064192522633	0.291358036734729	0.290883450932623	-0.000474585802106964
0.247983374684704	0.247339164753321	0.271182892971096	0.271500165257647	0.00031727228655104
0.25902912312164	0.258209556399112	0.385862743673191	0.385244169381737	-0.000618574291453455
0.258190676386045	0.257927476155277	0.303776104195299	0.30377659162932	0.000000487434020979283
0.209824007476643	0.209308158221958	0.279499323142856	0.279182162403778	-0.000317160739078448
0.211241343695487	0.210772922833503	0.383919859059414	0.382961736661502	-0.000958122397912098
0.244995465934506	0.244946999046021	0.342221800463975	0.342919570259034	0.000697769795059144
0.212406899088952	0.211999952306375	0.324653368016391	0.324455575146182	-0.000197792870208657
0.296152762230786	0.295479403845427	0.412730472893574	0.411814637505395	-0.000915835388178854
0.206031280547657	0.205719230574369	0.286827253460397	0.286914847529687	0.0000875940692898758
0.192919142990522	0.193061215662522	0.340349651115775	0.345826459055238	0.00547680793946231
0.217268529894743	0.216911339205788	0.368799706554374	0.370431201108666	0.00163149455429196
0.268961936374793	0.269355479820236	0.364476340200711	0.366744878521771	0.00226853832105983
0.202543594000953	0.2019235844043	0.236151733613559	0.235542298920454	-0.000609434693105426
0.232028090770477	0.232065435215673	0.24092683226158	0.242071700727075	0.00114486846549525
0.256829553013413	0.256203581570697	0.279460861486918	0.279048325722388	-0.000412535764529987
0.211465873314549	0.211009871658897	0.307188606072213	0.306515557095795	-0.000673048976417956
0.193986060572579	0.193607646893772	0.233934824560764	0.233670264971406	-0.000264559589357283
0.217372388602555	0.216544601715747	0.315237320301329	0.314494574113712	-0.000742746187616217
0.179934712193924	0.179654318276404	0.224288964474718	0.224230981353569	-0.0000579831211490744
0.166129126384747	0.165825188381982	0.177367080306322	0.177482699854664	0.000115619548341661
0.183414410032738	0.183092214814682	0.357109990525493	0.356723686055924	-0.000386304469569498
0.214642925419474	0.214268697309362	0.284415416435326	0.28467468479417	0.0002592683588441
0.235765476889799	0.235215918110986	0.538974373576413	0.54456329429965	0.00558892072323647
0.209944538291596	0.209460353638001	0.406956290819143	0.406104751201337	-0.000851539617805874
0.233337623005543	0.233984433427402	0.333720817413073	0.3362064288996	0.00248561148652748
0.281084677191373	0.280541337191484	0.46488923643515	0.464350085511073	-0.000539150924077081
0.37487579716325	0.374163129896043	0.429879352186057	0.42950705815258	-0.00037229403347705
0.263748099475411	0.262646592881827	0.339247272064378	0.338144638996525	-0.00110263306785319
0.220981228671124	0.220110538062843	0.216842294720352	0.215886071679661	-0.000956223040691373
0.22024732656777	0.219806612761192	0.331950054504101	0.331658106135617	-0.000291948368483896
0.239251232648356	0.241055019296295	0.373276718942098	0.380576394181388	0.00729967523928998
0.229548574240751	0.229408101041174	0.379035292163742	0.379378362061473	0.000343069897730142
0.268206167264813	0.268293783348681	0.381251202024942	0.382469874829261	0.00121867280431898
0.2848875578817	0.284190195243422	0.291753496388956	0.29138836485357	-0.000365131535386143
0.167877490337337	0.167503257817359	0.285655277571106	0.285222461268029	-0.000432816303077177
0.320386189329167	0.319868268313676	0.31513640709585	0.315123790586653	-0.0000126165091971497
0.187798072898109	0.187499826649342	0.35037866682321	0.350845991143322	0.000467324320112428
0.240182755564461	0.239797810182762	0.405881069958382	0.405751267052288	-0.000129802906093712
