Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_gsecd_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_gsecd_R	Univariate_LR_delta_R2_gsecd_R
0.222819522244156	0.177438034918139	0.225790609005007	0.245889188706995	0.0200985797019882
0.30323869358435	0.233815874260826	0.251825580364646	0.277802945766679	0.0259773654020328
0.205667273279815	0.163219641121603	0.348586858615999	0.40384124262269	0.0552543840066911
0.198107318385253	0.148884293973539	0.343317142018877	0.35677415825935	0.0134570162404727
0.266017256220056	0.201035885858809	0.373164257482372	0.398077447979608	0.0249131904972369
0.223004802734047	0.161946646657557	0.452085105192932	0.468286604457459	0.0162014992645277
0.325693178625149	0.239064325261407	0.469895501528423	0.473562412245077	0.00366691071665393
0.312788566151232	0.231076408660506	0.400137607691373	0.410240890377337	0.0101032826859646
0.263360018296483	0.201356476827505	0.388001255005143	0.419396192335397	0.0313949373302539
0.253337589858094	0.191886159655874	0.305782178200249	0.318958666577075	0.0131764883768263
0.276411448712494	0.195204481294513	0.300161468778702	0.28070408995002	-0.0194573788286819
0.163793104152798	0.123411000947899	0.340544575615153	0.365106885631815	0.024562310016662
0.21068708672015	0.160087840165052	0.382997249662793	0.40538301329179	0.0223857636289973
0.205096837255184	0.16380182825644	0.161117493075028	0.181918005069344	0.0208005119943159
0.201199870827006	0.149932608691291	0.394514784874963	0.418726251561168	0.024211466686205
0.260538936296584	0.203031335374342	0.353927097924863	0.393975114109046	0.0400480161841831
0.190867574689895	0.149496470934527	0.333128451153511	0.371406538156369	0.0382780870028578
0.180410147012328	0.140272730600986	0.219906921992264	0.23771666648606	0.0178097444937966
0.255426355962294	0.197046273874617	0.298627472054518	0.337981548002469	0.0393540759479513
0.197287392065138	0.150133236270812	0.225581198976633	0.231670841926031	0.00608964294939762
0.201639024924044	0.151816346236516	0.338053924833599	0.361031718798176	0.0229777939645777
0.180680129653145	0.134866842074415	0.222518713436317	0.228431953246033	0.00591323980971606
0.246080598351616	0.180427422486422	0.472562044388236	0.484474530032652	0.0119124856444162
0.200178833629194	0.149951528772134	0.235506045078312	0.257341274109414	0.0218352290311015
0.269880938946026	0.205534585263853	0.383265300094942	0.394149518890349	0.0108842187954066
0.180139242829934	0.146917420511169	0.171586484100425	0.202094049818692	0.0305075657182674
0.243953345727508	0.185399523137949	0.291358036734729	0.311445109277952	0.0200870725432226
0.247983374684704	0.192731105471548	0.271182892971096	0.292264802976788	0.0210819100056917
0.25902912312164	0.200471232048027	0.385862743673191	0.428250737664991	0.0423879939918
0.258190676386045	0.189485801495858	0.303776104195299	0.308515377050496	0.00473927285519748
0.209824007476643	0.160165924935343	0.279499323142856	0.308293029057287	0.0287937059144305
0.211241343695487	0.146501923804038	0.383919859059414	0.379091566307394	-0.00482829275202007
0.244995465934506	0.18488733426681	0.342221800463975	0.376257181248987	0.0340353807850123
0.212406899088952	0.156750252448629	0.324653368016391	0.337817686025898	0.0131643180095067
0.296152762230786	0.232192455003577	0.412730472893574	0.423213513970958	0.0104830410773843
0.206031280547657	0.156578273643841	0.286827253460397	0.307246091823276	0.0204188383628788
0.192919142990522	0.14151566593956	0.340349651115775	0.357169540528382	0.016819889412607
