Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_her_veg_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_her_veg_C	Univariate_LR_delta_R2_her_veg_C
0.151037596253434	0.427582646648912	0.388325426211782	0.17701009418734	-0.211315332024442
0.142351138918963	0.337123085403563	0.436539917974483	0.158153839727488	-0.278386078246995
0.15061894103494	0.432421563990127	0.331484844169957	0.155406062748388	-0.176078781421569
0.149109501396845	0.355431026666258	0.391100929521009	0.138440126158603	-0.252660803362406
0.138266030192787	0.339905185018777	0.356658123281561	0.15545787192859	-0.201200251352971
0.134413272461843	0.311497276405337	0.330923808029505	0.100958183131657	-0.229965624897848
0.155307271787103	0.311610004257791	0.310004758301913	0.0808506134578797	-0.229154144844033
0.119355114818103	0.304538783038231	0.400810233416745	0.134733597457154	-0.266076635959591
0.174478796573689	0.375338058580947	0.381230953168027	0.125689387299383	-0.255541565868643
0.141288382665203	0.486409710240069	0.460137053713518	0.296301325785748	-0.16383572792777
0.124977933278092	0.291919096565692	0.312145938476485	0.110863874842589	-0.201282063633896
0.185951839082199	0.47228635038957	0.451731478046589	0.182467678801144	-0.269263799245445
0.168564799701209	0.399273780946039	0.377600859698911	0.134847165977573	-0.242753693721337
0.14135447652732	0.350808758839628	0.413702606823832	0.172202664646782	-0.24149994217705
0.134935570076318	0.326355582761887	0.419738184440104	0.145739059693623	-0.273999124746481
0.130515677604834	0.301245338794024	0.397665040346926	0.125600308148177	-0.272064732198749
0.118385804491202	0.241295258586099	0.339165400049451	0.10850755672136	-0.230657843328091
0.127284746478565	0.378201013333126	0.476114711898614	0.22538018139157	-0.250734530507044
0.131660802094227	0.385879177039373	0.384057067358761	0.153665771611862	-0.2303912957469
0.111963322227191	0.298963274530101	0.3062869797441	0.145379615020097	-0.160907364724003
0.149408681848003	0.378029435533928	0.447118584520673	0.157949354820866	-0.289169229699807
0.13640914292868	0.385194002493897	0.456014578378146	0.180945656540277	-0.275068921837869
0.143259365536412	0.396115571347871	0.33308702249657	0.167818263928752	-0.165268758567818
0.0889051014579	0.217608057663061	0.266434951177938	0.0957610365404441	-0.170673914637493
0.131796710628302	0.282315012471807	0.412682574149289	0.126928715668636	-0.285753858480653
0.115786231625102	0.35410386517541	0.410285761144215	0.159642972861156	-0.250642788283059
0.163143613161208	0.328042895176642	0.473531814679412	0.111203159951177	-0.362328654728235
0.13198902519245	0.320904569620179	0.313350476519462	0.101172719228502	-0.21217775729096
0.164516550807871	0.297465454880974	0.398229545449678	0.0883775432098663	-0.309852002239812
