Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_popcount_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_popcount_R	Univariate_LR_delta_R2_popcount_R
0.150110631409529	0.000000302588552286381	0.38939719285353	0.00987654006692527	-0.379520652786605
0.143593909798947	0.000000337446195806242	0.423430126884949	0.014772771162141	-0.408657355722808
0.150132237850019	0.000000582418288572825	0.330987636129849	0.0280773041549795	-0.302910331974869
0.148278130952505	0.000000511743240282264	0.390775510220833	0.0323981377937981	-0.358377372427035
0.136401569212955	0.0000003991689699076	0.357528677260502	0.0133794797527617	-0.34414919750774
0.142400007698675	0.000000483654747865814	0.344323554655852	0.0151593988397791	-0.329164155816072
0.155246281623498	0.000000505003144032987	0.307810920976839	0.016118783576557	-0.291692137400282
0.118124156484011	0.000000556079533401824	0.395519150074584	0.0378778069669385	-0.357641343107645
0.17362623255589	0.000000642710941290918	0.380245477768298	0.0262080090396723	-0.354037468728626
0.141166928127341	0.000000724899269164787	0.458673843649753	0.0474879532342242	-0.411185890415529
0.1248543618432	0.000000634309186542161	0.3023738236271	0.0450469791628531	-0.257326844464247
0.185858489271754	0.000000472457279333501	0.452081650182312	0.0167030500072497	-0.435378600175062
0.167956922195548	0.00000052828113963104	0.377240289615715	0.0202334570412729	-0.357006832574443
0.140868118859595	0.000000711133963799141	0.414632345042468	0.0522044790684261	-0.362427865974042
0.133967017789341	0.000000444560307455717	0.420976909546387	0.0357462188866398	-0.385230690659748
0.130485065667798	0.000000360569227780224	0.397431450318772	0.013437548669776	-0.383993901648996
0.121846303952743	0.000000536153459355995	0.351421649490719	0.0321108698003047	-0.319310779690414
0.122420030009725	0.00000064373202511493	0.471212615187751	0.0609733310739278	-0.410239284113823
0.130064054004673	0.000000716228040587759	0.376337778374672	0.0426146045604848	-0.333723173814188
0.110504590470904	0.000000662937318536237	0.306668137521716	0.0526568717315511	-0.254011265790165
0.14813790410505	0.000000251291028867959	0.444939079400201	0.00697033042001826	-0.437968748980183
0.133802533498321	0.000000828731365138817	0.455815724520116	0.0684886863321692	-0.387327038187947
0.142305594922317	0.000000205253538236807	0.330458400866036	0.00331729289995831	-0.327141107966078
0.0887228017934336	0.000000581524173393831	0.266479568252722	0.0512670855092851	-0.215212482743437
0.124240499030707	0.000000460742943991413	0.379104339642323	0.03694191474724	-0.342162424895083
0.115314910707885	0.000000530608596090109	0.408539944472711	0.0360035210413404	-0.372536423431371
0.164462831673758	0.000000687490294513528	0.478858295513728	0.056853766895292	-0.422004528618436
0.13198902519245	0.000000564980520068371	0.313350476519462	0.0313131861808931	-0.282037290338569
0.163364605779724	0.000000658240313525668	0.397965093440934	0.0402781735395128	-0.357686919901421
0.128488066173242	0.000000431834316513879	0.308694803993136	0.0183611403178111	-0.290333663675325
