time	distance
1940.74598219329	0
1941.57696072752	0
1942.40793926175	0
1943.23891779598	0
1944.06989633022	0
1944.90087486445	0
1945.73185339868	0
1946.56283193291	0
1947.39381046714	0
1948.22478900137	0
1949.05576753561	0
1949.88674606984	0
1950.71772460407	0
1951.5487031383	0
1952.37968167253	0
1953.21066020676	0
1954.04163874099	0
1954.87261727523	0
1955.70359580946	0
1956.53457434369	0
1957.36555287792	0
1958.19653141215	0
1959.02750994638	0
1959.85848848061	0
1960.68946701485	0
1961.52044554908	0
1962.35142408331	0
1963.18240261754	0
1964.01338115177	0
1964.844359686	0
1965.67533822024	0
1966.50631675447	0
1967.3372952887	0
1968.16827382293	0
1968.99925235716	0
1969.83023089139	0
1970.66120942562	0
1971.49218795986	0
1972.32316649409	0
1973.15414502832	0
1973.98512356255	0
1974.81610209678	0
1975.64708063101	0
1976.47805916524	0
1977.30903769948	0
1978.14001623371	0
1978.97099476794	0
1979.80197330217	0
1980.6329518364	0
1981.46393037063	0
1982.29490890486	0
1983.1258874391	0
1983.95686597333	0
1984.78784450756	0
1985.61882304179	0
1986.44980157602	0
1987.28078011025	7.52398140124519
1988.11175864449	34.4338327644759
1988.94273717872	55.5058918441522
1989.77371571295	76.1119054457361
1990.60469424718	85.5668374162356
1991.43567278141	97.3489767321244
1992.26665131564	117.408653132132
1993.09762984987	135.5931552149
1993.92860838411	149.808049162694
1994.75958691834	173.104842277994
1995.59056545257	198.820702683985
1996.4215439868	215.920509167904
1997.25252252103	240.406525627033
1998.08350105526	263.53414648989
1998.91447958949	284.021169953463
1999.74545812373	314.471984656486
2000.57643665796	342.529559910644
2001.40741519219	381.107846601596
2002.23839372642	429.653902821362
2003.06937226065	483.356755290973
2003.90035079488	522.70719251007
2004.73132932912	585.272095022508
2005.56230786335	631.848953850313
2006.39328639758	682.131006078108
2007.22426493181	715.509592714445
2008.05524346604	750.128902053428
2008.88622200027	765.174643930835
2009.7172005345	785.336396862251
2010.54817906874	827.593183377684
2011.37915760297	883.600430358062
2012.2101361372	949.492067156073
2013.04111467143	1006.58928780343
2013.87209320566	1067.82929231373
2014.70307173989	1129.70471149736
2015.53405027412	1198.67716284194
2016.36502880836	1259.52028264728
2017.19600734259	1286.85861743287
2018.02698587682	1310.00474767546
2018.85796441105	1367.31873915089
2019.68894294528	1413.46766267659
2020.51992147951	1464.25124855182
2021.35090001375	1503.3536559293
2022.18187854798	1525.65379611522
2023.01285708221	1545.5755662329
2023.84383561644	1545.5755662329
