Accession,Isolate,Geo_Location,Collection_Date,Host,Isolation_Source
,Alectoris_rufa_1,"serpa, portugal",2021-11,alectoris rufa,
,Alectoris_rufa_2,"mertola, portugal",2023-11,alectoris rufa,
