node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
142,1,56.85143427517,51.4521692306883,4.07975098284881,50.560234,4.6917821,56.85143427517,0,1961.84774115969,2018.69917543486,28440000
142,143,30.07440801877,51.4521692306883,4.07975098284881,47.9282814301302,11.348491876413,30.07440801877,0,1961.84774115969,1991.92214917846,28440000
143,271,11.03721430316,47.9282814301302,11.348491876413,44.8167693185531,10.0185113154995,41.11162232193,30.07440801877,1991.92214917846,2002.95936348162,28440000
143,144,3.031053808488,47.9282814301302,11.348491876413,46.8687259681697,12.5452724233298,33.105461827258,30.07440801877,1991.92214917846,1994.95320298695,28440000
144,145,4.120867127264,46.8687259681697,12.5452724233298,47.5025314353714,15.9409683175709,37.226328954522,33.105461827258,1994.95320298695,1999.07407011421,28440000
144,159,2.111852971702,46.8687259681697,12.5452724233298,45.095585534542,12.1688854536933,35.21731479896,33.105461827258,1994.95320298695,1997.06505595865,28440000
145,158,2.507191724118,47.5025314353714,15.9409683175709,47.5440188490107,14.8380213474178,39.73352067864,37.226328954522,1999.07407011421,2001.58126183833,28440000
145,146,0.009415663263031,47.5025314353714,15.9409683175709,47.4589538511989,15.9720234661742,37.235744617785,37.226328954522,1999.07407011421,1999.08348577747,28440000
146,157,1.43900383567,47.4589538511989,15.9720234661742,49.030362251129,16.6938538052318,38.674748453455,37.235744617785,1999.08348577747,2000.52248961314,28440000
146,147,0.106818597799,47.4589538511989,15.9720234661742,47.1496771806468,16.2426849674679,37.342563215584,37.235744617785,1999.08348577747,1999.19030437527,28440000
147,148,2.882517811304,47.1496771806468,16.2426849674679,48.3468227795479,16.5623213840334,40.225081026888,37.342563215584,1999.19030437527,2002.07282218658,28440000
147,149,0.6614229898906,47.1496771806468,16.2426849674679,47.0453085588805,15.9862553957761,38.0039862054746,37.342563215584,1999.19030437527,1999.85172736516,28440000
148,2,0.584712059999,48.3468227795479,16.5623213840334,48.00214,16.23091,40.809793086887,40.225081026888,2002.07282218658,2002.65753424658,28440000
148,3,13.74361616959,48.3468227795479,16.5623213840334,47.8439484,22.3567615,53.968697196478,40.225081026888,2002.07282218658,2015.81643835617,28440000
149,155,2.747133400362,47.0453085588805,15.9862553957761,48.1821430296407,17.3365698528295,40.7511196058366,38.0039862054746,1999.85172736516,2002.59886076553,28440000
149,150,0.6009462818234,47.0453085588805,15.9862553957761,47.393294628742,16.8614970064574,38.604932487298,38.0039862054746,1999.85172736516,2000.45267364699,28440000
150,151,0.2761453783484,47.393294628742,16.8614970064574,48.1512093490093,16.3874183538839,38.8810778656464,38.604932487298,2000.45267364699,2000.72881902534,28440000
150,9,4.969336692621,47.393294628742,16.8614970064574,47.497912,19.040235,43.574269179919,38.604932487298,2000.45267364699,2005.42201033961,28440000
151,4,13.88954262823,48.1512093490093,16.3874183538839,45.2052775,20.294612,52.7706204938764,38.8810778656464,2000.72881902534,2014.61836165357,28440000
151,152,10.13865550302,48.1512093490093,16.3874183538839,50.1077158849199,14.3618127893659,49.0197333686664,38.8810778656464,2000.72881902534,2010.86747452836,28440000
152,153,6.184520310693,50.1077158849199,14.3618127893659,49.0004473966962,16.6387821676103,55.2042536793594,49.0197333686664,2010.86747452836,2017.05199483905,28440000
152,8,0.52704601959,50.1077158849199,14.3618127893659,49.817492,15.472962,49.5467793882564,49.0197333686664,2010.86747452836,2011.39452054795,28440000
153,7,0.4521147499929,49.0004473966962,16.6387821676103,49.1950602,16.6068371,55.6563684293523,55.2042536793594,2017.05199483905,2017.50410958904,28440000
153,154,0.3908964314186,49.0004473966962,16.6387821676103,49.2187599279808,16.9207134826464,55.595150110778,55.2042536793594,2017.05199483905,2017.44289127047,28440000
154,6,1.063958044602,49.2187599279808,16.9207134826464,49.1950602,16.6068371,56.65910815538,55.595150110778,2017.44289127047,2018.50684931507,28440000
154,5,0.1571087295332,49.2187599279808,16.9207134826464,49.1950602,16.6068371,55.7522588403112,55.595150110778,2017.44289127047,2017.6,28440000
155,12,8.072372111187,48.1821430296407,17.3365698528295,46.956503,19.2880496,48.8234917170236,40.7511196058366,2002.59886076553,2010.67123287671,28440000
155,156,1.798043084973,48.1821430296407,17.3365698528295,48.4787120015994,16.2231189008092,42.5491626908096,40.7511196058366,2002.59886076553,2004.3969038505,28440000
156,11,9.200356423474,48.4787120015994,16.2231189008092,49.817492,15.472962,51.7495191142836,42.5491626908096,2004.3969038505,2013.59726027397,28440000
156,10,1.582311853082,48.4787120015994,16.2231189008092,48.2080696,16.3713095,44.1314745438916,42.5491626908096,2004.3969038505,2005.97921570358,28440000
157,13,2.635239167222,49.030362251129,16.6938538052318,48.3162908,16.6361849,41.309987620677,38.674748453455,2000.52248961314,2003.15772878037,28440000
157,14,11.23641449645,49.030362251129,16.6938538052318,47.7841803,19.1351781,49.911162949905,38.674748453455,2000.52248961314,2011.75890410959,28440000
158,16,0.1567471806444,47.5440188490107,14.8380213474178,47.516231,14.550072,39.8902678592844,39.73352067864,2001.58126183833,2001.73800901897,28440000
158,15,2.454866731647,47.5440188490107,14.8380213474178,48.0296979,14.7108083,42.188387410287,39.73352067864,2001.58126183833,2004.03612856998,28440000
159,160,0.9799002125301,45.095585534542,12.1688854536933,44.8838825704435,12.2144367376945,36.1972150114901,35.21731479896,1997.06505595865,1998.04495617118,28440000
159,162,4.25457008999,45.095585534542,12.1688854536933,45.1079859866524,11.8981996802567,39.47188488895,35.21731479896,1997.06505595865,2001.31962604864,28440000
