tipnames	nuts0_id	nuts1_id	nuts2_id	nuts3_id	lat	long
KY199557|NA|turdus_merula|DE|2016	DE	DED	DED5	DED51	12.3730747	51.3396955
NA|AS201600289_BEC009|strix_nebulosa|NL|2016	NL	NL4	NL41	NL414	5.3983356	51.5279846
OU674388|NA|turdus_merula|LU|2020-09	LU	LU0	LU00	LU000	6.1258432	49.6123327
MK230891|Seraing/2017|turdus_merula|BE|2017-08	BE	BE3	BE33	BE332	5.5141268	50.6098842
KY263625|NA|turdus_merula|BE|2016-10	BE	BE3	BE32	BE323	3.8933321	50.4069751
OP921076|16TV1039_Turdusmerula|turdus_merula|NL|2016-10-07	NL	NL2	NL22	NL226	5.9200815	51.8181209
MT795154|NA|turdus_merula|DE|2016-09-30	DE	DEA	DEA1	DEA1B	6.1565522	51.679984
MN122145|AS201600034|turdus_merula|NL|2016-09-01	NL	NL4	NL42	NL421	5.9726751	51.6978545
MN122148|AS201600045|turdus_merula|NL|2016-09-07	NL	NL4	NL41	NL414	5.6778516	51.4200163
MN122164|AS201600124|turdus_merula|NL|2016-09-23	NL	NL2	NL22	NL226	5.9689837	51.963807
MN122173|AS201600227|turdus_merula|NL|2016-09-30	NL	NL3	NL32	NL327	5.1668974	52.2291696
MN122178|AS201600265|turdus_merula|NL|2016-09-30	NL	NL2	NL21	NL213	6.8936619	52.2215372
MN122180|AS201600274|turdus_merula|NL|2016-09-27	NL	NL3	NL31	NL310	5.291266	52.132633
MN122185|AS201600284|turdus_merula|NL|2016-10-03	NL	NL4	NL41	NL413	5.5140482	51.7611801
MN122194|AS201700090|turdus_merula|NL|2017-07-13	NL	NL2	NL22	NL225	6.2937736	51.9646995
MN122195|AS201700096|turdus_merula|NL|2017-07-14	NL	NL4	NL41	NL413	5.3608099	51.7171488
MN122199|AS201700112|turdus_merula|NL|2017-07-27	NL	NL2	NL21	NL213	6.8936619	52.2215372
MN122200|AS201700118|turdus_merula|NL|2017-08-03	NL	NL3	NL32	NL327	5.2433925	52.2994652
MN122201|AS201700121|turdus_merula|NL|2017-08-01	NL	NL1	NL13	NL133	6.3184641	52.7000927
MN122202|AS201700124|turdus_merula|NL|2017-08-01	NL	NL2	NL21	NL213	6.8936619	52.2215372
MN122205|AS201700152|turdus_merula|NL|2017-07-19	NL	NL3	NL31	NL310	5.0403003	52.0177649
MN122206|AS201700155|turdus_merula|NL|2017-08-10	NL	NL2	NL23	NL230	5.2647016	52.3507849
MN122207|AS201700167|turdus_merula|NL|2017-09-01	NL	NL2	NL23	NL230	5.2647016	52.3507849
MN122209|AS201700174|turdus_merula|NL|2017-08-29	NL	NL3	NL31	NL310	5.1229572	52.0919255
MN122210|AS201700177|turdus_merula|NL|2017-09-15	NL	NL2	NL22	NL221	5.9836544	52.3450173
