tipnames	collection_regionname	collection_countryname	host_sciname	lat	long
MW164690|15pool1564|culex_pipiens|it_ve|2015-08-17	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164692|15pool1759|culex_pipiens|it_tv|2015-09-02	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164712|17pool1309|culex_pipiens|it_tv|2017-07-24	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164723|17pool1688|culex_pipiens|it_ve|2017-08-16	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164713|17pool1488|culex_pipiens|it_pd|2017-08-02	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164750|18pool1509|culex_pipiens|it_ve|2018-07-31	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164751|18pool1519|culex_pipiens|it_pd|2018-08-02	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164714|17pool1493|culex_pipiens|it_vr|2017-08-02	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
KX816649|231247/2011|turdus_merula|ita|2011-09	southern europe	italy	turdus merula	42.7080607219025	12.208345049127
KX816648|220921-2/2011|culex_pipiens|ita|2011-09	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
MW164642|12pool1948|culex_pipiens|it_vr|2012-07-24	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164696|15VIR4781-43|turdus_merula|it_tv|2015-09-15	southern europe	italy	turdus merula	45.7955701979281	12.2183814439524
NA|20VIR5077|turdus_merula|it_ve|2020-08-21	southern europe	italy	turdus merula	45.526082648527	12.476782716513
NA|20VIR4951|serinus_canaria|it_pd|2020-08-19	southern europe	italy	serinus canaria	45.3503606701822	11.8055699190195
NA|20VIR4811|serinus_canaria|it_pd|2020-08-10	southern europe	italy	serinus canaria	45.3503606701822	11.8055699190195
NA|22VIR7086-3|turdus_merula|it_ve|2022-07-18	southern europe	italy	turdus merula	45.526082648527	12.476782716513
NA|22VIR8404-2|turdus_merula|it_ud|2022-09-01	southern europe	italy	turdus merula	46.2262197388729	13.1581016601095
NA|23pool1280_23RS1633-583|culex_pipiens|it_pd|2023-07-05	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
NA|23VIR9300|turdus_merula|it_vr|2023-10-01	southern europe	italy	turdus merula	45.4173535048033	11.0380386816998
NA|23VIR8795|turdus_merula|it_ve|2023-08-23	southern europe	italy	turdus merula	45.526082648527	12.476782716513
NA|23VIR9292|turdus_merula|it_vr|2023-10-01	southern europe	italy	turdus merula	45.4173535048033	11.0380386816998
NA|23pool1901_23RS1909-300|culex_pipiens|it_ve|2023-08-16	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
NA|23pool2067_23RS1943-143|culex_pipiens|it_vr|2023-08-24	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
NA|23pool2138_23RS2497-1|culex_pipiens|it_vi|2023-11-13	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
NA|23VIR8708|columbidae_sp|it_pd|2023-09-01	southern europe	italy	columbidae sp.	45.3503606701822	11.8055699190195
OM202464|Greater_London_2021|turdus_merula|gbr|2021-09	northern europe	united kingdom	turdus merula	54.0438440515314	-2.78687513666638
MW001216|NA|turdus_merula|gbr|2020-07	northern europe	united kingdom	turdus merula	54.0438440515314	-2.78687513666638
MT241508|UG09615|culex_univittatus|ug_ji|2012-02	eastern africa	uganda	culex univittatus	0.574474559656785	33.2105328081453
MK419834|USU-BE-Scoter/2018|melanitta_nigra|bel|2018-08	western europe	belgium	melanitta nigra	50.64017310615	4.66939027974939
MK230890|NA|turdus_merula|be_bw|2017-08	western europe	belgium	turdus merula	50.6662176476525	4.58957688499599
MK230891|NA|turdus_merula|be_lg|2017-08	western europe	belgium	turdus merula	50.5190126793228	5.73807879213009
MK230892|NA|turdus_merula|be_lg|2017-08	western europe	belgium	turdus merula	50.5190126793228	5.73807879213009
MK230893|NA|turdus_merula|be_lg|2017-08	western europe	belgium	turdus merula	50.5190126793228	5.73807879213009
