# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 30 11:07:39 GMT 2024 [seed=1730286458901]
# -overwrite -beagle_gpu -beagle_order 1,1 USUV_2024Oct20_noFLI_NFLG_C_subsampled.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(ON755214|Turdusmerula12_feather_2W1L_Day0|turdus_merula|NL|2016)	age(KM659877|NA|turdus_merula|DE|2014)	age(MT795154|NA|turdus_merula|DE|2016)	age(PQ041659|USUV_TM_Netherlands_2016|NA|NL|2020)	age(MT188658|NA|turdus_merula|NL|2016)	age(MN813490|TMNetherlands|turdus_merula|NL|2016)	age(ON755217|Turdusmerula15_feather_WLC_Day0|turdus_merula|NL|2016)	age(OM202464|Greater_London_2021|turdus_merula|UK|2021-09)	age(MW001216|NA|turdus_merula|UK|2020-07)	age(ON755216|Turdusmerula14_feather_WLC_Day0|turdus_merula|NL|2016)	age(NA|Blackbird_Cambridgeshire_2023_a|turdus_merula|UK|2023-08)	age(NA|Blackbird_London_2022_a|turdus_merula|UK|2022-09)	age(NA|Blackbird_London_2022_b|turdus_merula|UK|2022-09)	age(KY128482|Snebulosa-6004/NL/2016|strix_nebulosa|NL|2016-09)	age(ON755220|Turdusmerula19_feather_WLC_Day0|turdus_merula|NL|2016)	age(ON755210|Turdusmerula17_feather_WLC_Day43|turdus_merula|NL|2016)	age(MK230891|Seraing/2017|turdus_merula|BE|2017-08)	age(ON755222|Turdusmerula13_feather_3W2L_Day43|turdus_merula|NL|2016)	age(KY263625|NA|turdus_merula|BE|2016-10)	age(KY294723|S-1238|turdus_merula|DE|2016)	age(KY294722|S-1232|turdus_merula|DE|2016)	age(KY199557|NA|turdus_merula|DE|2016)	age(MK419834|USU-BE-Scoter/2018|melanitta_nigra|BE|2018-08)	age(OU674388|NA|NA|LU|2020-09)	age(ON755212|Turdusmerula20_feather_WLC_Day43|turdus_merula|NL|2016)	treeLikelihood	branchRates	skygrid
0	-262166.17394417117	-7360.104210746533	-254806.06973342467	280.38496366063487	1743.1958582571733	1358.4068489773103	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	0.9132595128546017	0.3280860211084173	-0.013440817966617204	7.08082191780818	9.08082191780818	7.08082191780818	3.08082191780818	7.08082191780818	7.08082191780818	7.08082191780818	1.87340182648389	3.041887491578639	7.08082191780818	-0.041666666666666664	0.8734018264838899	0.8734018264838899	6.872488584474771	7.08082191780818	7.08082191780818	5.958333333333334	7.08082191780818	6.790521371360077	7.08082191780818	7.08082191780818	7.08082191780818	4.958333333333334	2.8724885844747705	7.08082191780818	-254806.06973342467	-1367.3303290489157	-4551.167271109195
250000	-24533.806591555913	-2097.2864650975525	-22436.52012645836	18.785871354981776	2004.7949505628264	491.9618993187138	1.4702723469335368	9.676031468983949	9.134917140297922	9.58536664730037	8.822424370673119	8.635582908340494	8.333105990997765	8.152350005564493	8.757010965591341	8.842231903949587	7.38338304077383	8.345469500006425	9.2354731814324	8.074334042752618	6.598296360952934	6.452092830692177	5.6073541933045785	3.7896749699761103	4.100648705368255	3.405197022935884	4.303317177751276	3.7445887105372577	3.700957675173767	3.3650096536816325	3.4775067623009743	2.379433294712671	2.50217436191649	2.341572752415926	2.052492585289431	1.909358719266479	1.361660693661685	1.8798268611150522	2.4200875802394264	0.9358165428285226	2.350532562894734	1.4977722233056472	0.29463813352074814	18.0	13.474636868615166	41.425714407494006	0.2738171235059273	0.23028817275818203	0.2686022553358299	0.22729244840006047	0.060656836072668856	0.26349110331629155	0.24953822635409675	2.5011418316936833	1.993358884715106E-4	6.838415463968458E-5	1.9472771420734513E-4	0.38261649044952856	0.023808884120962368	7.32858078515982	8.673498021007958	7.561964159051141	3.0659211901208874	7.299625693523707	6.893820183461195	6.894196788907668	1.8607617048558038	3.0828732325521324	6.852032156486053	0.0	0.8649516493576274	0.8844899165827497	6.91391660414091	7.214218664747575	6.633684600400207	5.917494002699636	7.086116881607582	6.751237028068065	7.101110450629342	7.232044334117488	6.770992110376116	4.949979167983234	2.8737366468753205	7.292656257187411	-22436.52012645836	-1367.3303290489157	-645.4117392380869
500000	-24482.27739099086	-2052.6970646667955	-22429.580326324067	17.164777112552173	2006.416044805256	432.0011835007991	0.06948852417075334	4.097509094802922	8.234079889931326	4.337113246658313	11.328473738635259	15.388610081579195	7.811480582095397	6.872113146440455	3.5582833969676315	0.34402234635662177	4.865030515780158	7.152230287927961	5.840269086375371	9.030480261208401	7.885556079707966	8.294101131825336	4.83176671339101	3.4351402786501053	5.574698498813458	6.612836267065713	2.679932439239553	4.3687271733155235	2.216592011167801	2.591406797697847	-0.04254224652035979	3.94777321702229	3.6494137195208705	5.920869463616605	2.604792162149091	2.548504096432584	2.1505052775533553	6.407991569662746	2.7668945470715833	-0.7006676758589718	-1.132238375000566	0.5303136510274706	1.8067411257016759	18.0	17.746403838793455	30.29772402299005	0.26112988980113355	0.23174525064599616	0.2756304377518455	0.23149442180102456	0.03873790154036791	0.32635744020425406	0.24828760156299937	2.5036434450410834	2.2938512486001125E-4	7.431443119242582E-5	2.308419771482275E-4	0.334434928533979	0.06845128532386743	7.134238030097613	9.501218838553749	7.314978029154112	3.124257846168231	6.683207366236972	6.745453953106846	7.225895568015421	1.8806424551454304	3.0772672418627125	7.121522322149984	0.0	0.8347649471333805	0.8642416370586904	6.901517886625179	6.599586815880078	6.875736063997464	5.980285275987134	6.935280940109004	6.773785509701969	6.867894597741439	7.277507685335354	6.863254405388604	4.959473515063756	2.8696464409059717	7.182275936504097	-22429.580326324067	-1367.3303290489157	-603.9344408007096
750000	-24512.306664592536	-2072.312200250964	-22439.994464341573	17.820488492249034	2005.760333425559	453.99043615300894	0.042188136882580836	23.08609752330794	28.79762844980479	27.27505950068182	30.897052717987087	22.67680892601012	14.444906148673354	7.19473684559284	6.471963849277044	0.5735252238472726	11.463015998823057	13.801570410530204	5.920898562937465	11.89376436204073	10.496612090179388	16.34951626527731	6.221290428202468	3.5002944204488164	6.544307043921754	5.459010771849598	3.4755895328480038	3.757048803390836	4.6204735688825975	1.710497465963237	1.9769803703460016	0.4841061547047463	4.06337499085621	0.7284316315715923	1.270402859115797	13.223975902926322	8.1483225582795	10.706189037362158	10.322450028151946	5.093489555612979	1.7050975279529927	0.9921012321754625	-1.1149544085668808	18.0	11.64579880469924	27.77488371154822	0.2574205776481019	0.2380645540834908	0.27757294249644177	0.22694192577196542	0.026136831465955076	0.22831253016005026	0.24223756739431765	2.5157452731324312	2.2342872138665163E-4	5.763675596542307E-5	2.2998645865124736E-4	0.2531347598035281	0.03394743508463617	7.579789125628852	9.161303162531805	7.327359282539283	3.2479490018147175	7.471734143227956	6.585681523289622	7.565337272610758	1.89263131555522	3.000508898888874	6.85844544300706	0.0	0.8918773923980535	0.856469462522219	6.912084138059192	7.549194413859137	7.13757050929504	5.962465713533491	6.703763802805169	6.755009568765304	6.747607947764762	7.462433040220325	7.156515026593151	4.979642122989455	2.867584868786813	6.9738930450623915	-22439.994464341573	-1367.3303290489157	-625.5651830327686
1000000	-24521.524530973762	-2085.8670154524925	-22435.65751552127	16.881235099014958	2006.6995868187933	443.32949640194215	0.30885582792743493	0.8910221726238721	1.1433273941991988	3.3073504768522204	5.537144372421568	5.272477215952424	4.051659892350841	4.571215081502163	3.3739440739738105	0.9343337588608464	3.7362935381654276	7.4232294800601615	8.864971564026767	11.123984078987554	10.061661297929417	8.079128185254952	5.723045336198591	3.7732496360317143	2.8867723938261913	6.699459472809754	5.0490255720145285	3.2476365853867755	3.4954467724892986	1.3498314471231092	1.527175502963341	1.1941938547619915	1.7320472071991795	1.735296025863414	0.8256987592017493	3.857851060447917	2.5578665254980284	4.2183869843752415	1.7718572599474662	1.1623111843584004	4.061726743314735	6.847754348556232	5.933871232806698	18.0	13.059269979438577	36.72645275542682	0.2611066358697601	0.22693987394736198	0.2745397737017893	0.23741371648108828	0.09753824391267142	0.26305805345621286	0.2767121288152922	2.446786122785691	2.3289948685696073E-4	5.835339917151249E-5	2.3167898289592345E-4	0.2564146493350772	0.009657300456768242	7.04568719003497	9.247737544112871	7.12227160997257	3.181784608081213	7.561224517746535	7.331989541999678	7.003649901857032	1.8349947174901888	3.002647948432329	6.623799011508293	0.0	0.9085336534278489	0.9069403794022874	6.89522500370779	7.289378736253064	6.628608256144539	5.998909603244878	6.7716187844717455	6.799340640434505	6.713632858616757	7.010947947139565	6.802746407133322	4.9985314275989206	2.910554204652354	7.12731619894501	-22435.65751552127	-1367.3303290489157	-635.0278267598701
1250000	-24498.5973181672	-2067.403146182054	-22431.194171985146	17.024233419537033	2006.5565884982711	456.6795421450886	0.1228693787256254	-0.8319768653535355	1.5931984801510004	7.754564279421788	5.975681083142618	6.440865871322566	4.426685424180779	5.847761225259886	1.0839288446972024	6.056764358752986	5.6727293783676025	4.888215086793837	10.668039289779024	14.850908682152038	10.82662401525856	11.532313582186537	7.118884930892678	3.326299546613349	3.768959231858413	4.392381981476487	3.797391617522004	3.387596872127297	2.447189309588608	2.4708963625033373	3.5926347815766935	4.446871550330198	3.2175760599465475	0.9094336537059302	-0.10821310759903574	0.700503662604335	2.451591721608433	4.084064209969552	3.6489622597410047	1.5791118565958433	-2.7785437662558414	-5.971894134815466	-9.180381598880937	18.0	18.21590000188863	29.875099828949082	0.2690175137033835	0.22915539999525172	0.2750664995004416	0.2267605868009228	0.13842245439510234	0.2867633718494564	0.2557904356287686	2.4886355945843257	2.333237139295377E-4	6.166263087915052E-5	2.3303397741646087E-4	0.26420280268072294	-0.07093269678121275	6.632703778743053	8.863764827085191	6.767316623912282	3.524867358456638	6.995561616453648	7.443013734319344	6.802369575865636	1.9060198435412503	3.0804323367301185	6.649856689774056	0.0	0.9029183349506122	0.8968190753548217	6.864071031597311	7.552992575856078	6.876545217476982	5.958526254997506	6.742843206513921	6.772881140269377	6.978796642933365	7.157109342856252	7.319034320829866	4.917869525992087	2.8769306094025637	6.771914451483409	-22431.194171985146	-1367.3303290489157	-617.7354411058668
1500000	-24465.79633717699	-2048.055934447825	-22417.740402729167	17.49670626752774	2006.0841156502804	464.73270249796644	0.211492395909603	10.298505510543912	8.309863822847362	6.120349874767838	6.057367220899011	5.671555535200173	2.573817375618783	2.335521224067444	2.8872125126268737	3.188870672804965	8.660571519213494	6.489759026337638	7.81914147508186	10.320942499357466	11.172913559622767	8.539910360110595	6.197008514154814	3.3191462385765336	7.063310949256363	5.110370347860555	3.1946185334276107	6.022806718675168	3.9421426954844354	3.2045875066608995	2.2623537201362542	2.8807971958598104	-0.9172562448127016	2.4151037802775903	3.9509133066316893	2.5696252788581333	3.430337103123439	4.063407672116953	3.688973610592747	1.2374404472752216	-0.025179180291723446	-1.247969989458529	-3.0461925271820336	18.0	11.697951039480849	25.458824847967158	0.2650135648627091	0.22899045617908126	0.2775169934695872	0.22847898548862253	0.07551843465082375	0.24436695101206313	0.24268248745922233	2.5148553035901355	2.1986369170275236E-4	8.582390605558499E-5	2.218337758177714E-4	0.4077492345473275	-0.009237741140426354	7.51150584373678	9.350549140965429	6.863272800733963	2.9148964981204646	6.78859167505242	6.8207353246756774	6.628804544260571	1.8556106429403552	3.0520162060131417	6.830824047522114	0.0	0.8855963993442061	0.8417456907732963	6.875991110965022	6.790956971059976	7.009773963661966	5.960188160405757	7.285590960974446	6.788274840135365	7.039655340110878	7.2157463341041	6.794491680307637	4.998547316253325	2.8322954642622644	6.944258169169051	-22417.740402729167	-1367.3303290489157	-599.779104226983
1750000	-24467.672525355854	-2037.7150895184986	-22429.957435837357	16.407590804150967	2007.1732311136573	420.26832587314357	0.4880084918852201	8.907777898445648	7.398809889115096	6.170899360052886	6.188245835637347	7.281283640332408	7.638576924860493	6.95101445393513	3.0436620726148895	1.9586377795660088	4.554204924355094	5.6616863022166815	7.119749105688282	9.541678208893016	9.872443549843776	7.723220468288372	5.6895774927627185	3.0472894970717803	5.040010506956593	3.996780180665625	3.2841131994671215	3.7357581858053153	3.1293156425418607	1.7111865572924247	1.1115640188048221	-0.37682817134565383	0.6238586394203051	0.9337390748857253	2.0958165338159893	4.563476634497042	0.07932911967680223	2.2369088029195776	0.5567977669923345	-0.3796169307625525	-3.444207607930828	-3.1551264375247188	-4.107924524422047	18.0	10.388041392104466	31.31703831272313	0.25799461416073416	0.22751257490690804	0.2814934473505642	0.23299936358179402	0.03074654509857454	0.26612517858130447	0.2439130566828715	2.5123938072111303	2.2971188570513194E-4	8.359870112307557E-5	2.329109567387999E-4	0.3410403864435932	0.023642604391191088	7.384517465672677	8.592617905730627	7.315002869449667	3.1004113230889048	6.665603569571784	6.8182949397136685	7.563542520205674	1.8797913035212566	3.062935551780279	6.594593630046042	0.0	0.8876695760252924	0.8614225158535004	6.86432895160039	7.27285801231853	6.7437810101314275	5.9910670963229995	7.473396019345301	6.8314022077666365	7.498375135582745	7.443486863968237	6.913994353375204	4.984043877977346	2.8367462234705614	6.880010143614558	-22429.957435837357	-1367.3303290489157	-588.2548392960193
2000000	-24471.407359347602	-2045.6408669805628	-22425.766492367038	15.68237146201214	2007.8984504557961	415.9909708870569	0.45875786807307817	4.521162064513416	2.354965684571735	6.163377041393014	6.808671801494338	5.270424044946089	3.90687600753896	3.0327060344570693	1.4301034926727745	1.2263283735061339	5.232771302560112	5.824415811482565	10.273866730103062	9.766799630426494	9.534521397400257	8.4958825488587	6.511696539933536	3.1905135174932866	5.276958518883372	3.783364443898484	3.396646103530734	3.917831603521318	3.548759049069695	3.2825181561577397	1.523315660941088	1.7272006456627762	2.4644713693451963	4.037940499869283	2.8027978413581476	2.0985020146734414	0.9739104854493434	0.8663564539979427	0.9652935106878834	-0.6963160475191065	-1.1059905371215917	0.022798260758283062	2.4902109275591746	18.0	17.877097928672505	35.585171864481126	0.2600189058668052	0.2319369682188658	0.27586338140510225	0.23218074450922718	0.04050517069763734	0.2515849704484173	0.2497013841156055	2.5008154687134945	2.5535091013956164E-4	1.0719192678461232E-4	2.4245984782380383E-4	0.40397316995800664	-0.08157918499145801	6.755478310079064	9.242683414812554	7.39097483978981	2.796132124374756	7.406107653385293	7.514348915157124	6.679666503183698	1.9020276441232706	3.0492204295609895	6.6418512748027565	0.0	0.8600203814053174	0.86092997725559	6.897345249432723	6.78962376432683	6.69262222680674	5.988592829672984	6.988308371379898	6.751725917203283	6.766744065561809	7.452412917532706	7.427399064863379	4.931908021441414	2.9101738053381028	7.562581118422729	-22425.766492367038	-1367.3303290489157	-594.5858856871126
2250000	-24482.372814966322	-2034.7233302004447	-22447.649484765876	16.19335091192964	2007.3874710058785	395.8698084736896	0.1352412963163792	6.095021319803833	7.699223368215279	8.351676956503804	6.716743723500688	10.103932883110094	11.564647519465318	8.667292438877567	3.4351364163705598	0.3435225657567723	4.390067824694576	5.798931120175809	10.480535382404963	11.043757597630773	11.084357478563343	9.83659629953298	3.9935712831171264	2.9114088292772404	6.456967105183216	3.689818126508612	3.4770003370230373	7.28288759341211	3.8883267943214577	4.011592364015313	0.9322154752403377	3.2579504376366195	0.10624857544798272	1.5435747018141481	3.537630808291109	5.170011577411067	4.034240985504079	2.6382936923565823	0.16788513311616304	-1.300526468662969	-1.5696840007792865	-3.242975149445826	-0.1604253626127875	18.0	18.53396086952031	26.813344539566902	0.25412143425502814	0.22906615617191134	0.2787559123069128	0.23805649726614794	0.016957220636368456	0.2541243194441875	0.2651143555429586	2.469985042737369	2.6985403345530004E-4	9.079492674768152E-5	2.522913325211916E-4	0.3597869976175747	-0.17243295882001156	7.098944418951664	9.067864493183924	7.454946747702244	3.415993332744358	7.412734075484249	7.515212795430301	7.370377368752142	1.834016257097643	3.008406810654481	7.258946050922723	0.0	0.8453322861808975	0.8698844570740136	6.895784797089451	6.80989274050724	6.7518411812585954	5.924257290542902	6.740627939006365	6.764031092547191	6.752657234507078	7.531806853323035	6.583750906783078	4.944925527628729	2.863669375724708	7.0124187284172415	-22447.649484765876	-1367.3303290489157	-585.1103191422033
