# BEAST v10.5.0
# Generated Mon Aug 18 11:41:47 BST 2025 [seed=1755513707507]
# -overwrite USUV_2025Jun24_NFLG_VII_SRD06_HMC_SG.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	age(JF266698|NA|turdus_merula|IT|2009)	treeLikelihood	branchRates	skygrid
0	-119733.13789819596	-101407.21851926009	-18325.91937893587	91.97143331961868	1924.6870366257365	396.41631253619596	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	0.001	1.0	1.0E-6	6.429752911171208E-16	0.9749999999999999	7.158469945355137	-18325.91937893587	0.0	-644.6790624363554
5000	-15542.922580936727	-2.423555176318951	-15540.499025760408	10.793501140125867	2005.8649688052292	60.84170220062032	150.8646837415571	2.3705731321450596	2.4021368663534584	2.407554423843627	2.2492026515523	2.17939583323902	2.1494283406507133	1.9738410808581037	1.9661579659079997	1.9079750329397398	1.9778453803577765	1.8710698089983673	1.9577184130108276	1.8846457672443293	1.9371277565484075	1.979363656984255	2.0480483087003765	2.092205325948054	2.166413730805432	2.185751134174605	2.243836679471198	2.210889388664082	2.1147670131554377	2.071248400396961	2.1886774692231232	2.2176641812387894	2.2992009427127407	2.196747284386612	2.075608004056156	2.2534881624115775	2.1857076041284556	2.2005241992567544	2.176207268459345	2.329106393041119	2.3905828100967654	2.378203286026543	2.3555353766357303	2.1717098717536776	2.101109031682146	1.96990446406622	1.9710156843236755	2.1536391893443576	2.3426136301536267	2.230928124914161	2.362040183746691	2.382929333394441	2.282637526511005	2.400579471886722	2.496015208872578	2.608187461862099	2.573830618252976	2.625745525590767	2.5357798448877347	2.4872971244511892	2.348728108594392	2.3692415366286497	2.498607070181582	2.489700407304258	2.4130336918033373	2.4177429233727787	2.3903323681204665	10.0	9.294888674177763	41.95771152691263	0.2728742054542498	0.22668003974750586	0.2816745245842932	0.21877123021395128	1.3822668119365502	0.7826023180166525	0.20825032569324484	0.7917496743067554	0.31237548853986724	2.375249022920266	3.176277850803082E-4	1.5539872371565384	2.663270445579802E-4	0.14268407611569744	-0.044172415467696374	7.648636302211615	-15540.499025760408	0.0	-11.66009679887209
10000	-15463.453123465584	79.89575307606579	-15543.34887654165	9.74043170968071	2006.9180382356744	49.62071127600236	803.8375312508269	2.1533795179989386	2.1701384303656663	2.2402188406282644	2.2388804337199844	2.2102846541645502	2.2298504097372422	2.22968535056396	2.211827534451423	2.1885691702340355	2.197089390018098	2.183397336154727	2.228118835151846	2.2048468681410176	2.184561286597643	2.1633091671950666	2.1644569626854087	2.130682944186201	2.1313110210202573	2.1264841481746695	2.1017705632583783	2.049378480983479	2.0598184473076984	2.024113471466241	2.0175643094830646	2.068772534786133	2.0467525686291603	2.0099903736377502	2.0157822494683435	2.018812938505887	2.023169544025665	2.0438534269889086	1.9951367633717292	1.9868254441676734	1.9635455314736041	1.9906511506061841	1.9299061766780745	1.9156604992259265	1.9173424264844412	1.9313890133047644	1.934528447082539	1.9227047337667595	1.9395846732011526	1.951243375776507	1.87542850104814	1.9171002529694428	1.95949669581108	1.9172451981596343	1.9380546240245284	1.8840720649067042	1.9159700346889237	1.906579933768496	1.9079643061232325	1.8834353761560245	1.8880999122656925	1.8834002695326593	1.862507004371018	1.8265935771557753	1.7926751047434455	1.7886353209420747	1.8225435823928735	10.0	27.67651720596563	18.612492342873615	0.2637256354862509	0.240196605491847	0.27829193901240595	0.21778582000949648	0.9133021599569652	0.46777460649847524	0.22111012099131974	0.7788898790086816	0.3316651814869796	2.336669637026045	3.0293738288692266E-4	0.9463379429250269	3.038716933759413E-4	0.09231946922497548	0.3091479645693012	7.405574520694284	-15543.34887654165	0.0	64.13052544559275
15000	-15564.148410689893	-26.43856462586608	-15537.709846064028	10.238968980282419	2006.4195009650728	62.16545241417964	40.81563043872134	1.7814141920241808	1.901644752840239	2.1312538096953375	2.1808990236513885	2.3161856345756546	2.3162354130235254	2.442610985080603	2.476861629380037	2.6990181726124907	2.847800776097247	2.608872536273573	2.378048356843141	2.1934420757152404	2.133934919292779	2.233123995088123	2.2832273601165913	2.1689932933576666	2.1583059059732457	2.289897398932625	2.225157024846957	2.2221830881286047	2.086750840966778	2.1974483511692244	2.064159754642306	2.372589667343705	2.371512175242826	2.325404802955366	2.2545444999487305	2.1691338802278675	2.2978412661230116	2.320797745088137	2.1234700214398283	2.3125266684620054	2.439377845972697	2.319683226429402	2.0342417320718433	2.030164450948085	2.241149877857338	2.2648423478966073	2.37608823725998	2.263120541490589	2.106002746447593	2.169377704874259	1.9032327255786312	2.0446429604834178	2.3607425508737987	2.259762510577076	2.3676024203810164	2.4589783745680363	2.576034674037238	2.6947963753871176	2.723015073764663	2.8164358959629605	2.6082067306049708	2.308698436029879	2.1846719791851195	2.1907184968427638	2.316640388619811	2.2154312094109225	2.1553542189768766	10.0	24.811516235759655	20.049604944669095	0.2709919166070101	0.22904138488994238	0.27877417400710475	0.2211925244959431	1.9424649832282668	0.28256327835706085	0.2651081870359867	0.734891812964015	0.39766228055398006	2.204675438892045	2.677246330837266E-4	1.492235159188963	2.2777723992949521E-4	0.15242000496138336	0.13754538354662976	7.501029248219203	-15537.709846064028	0.0	-37.499085142586196
20000	-15500.587744175898	39.659408197132905	-15540.247152373031	9.00514726537183	2007.6533226799834	48.188271642136975	283.3361352522273	2.538649242454969	2.447293465335261	2.363102744764604	2.3950120402067854	2.434943435480721	2.49975836552928	2.471759192807663	2.439736262429153	2.45740658377495	2.4513783745470197	2.4375527277348943	2.4285598660813843	2.3654136829677386	2.277097025894458	2.29618493746019	2.270251873416412	2.3312246004702435	2.2766427441414474	2.3529087313803307	2.374452051286392	2.459042681012739	2.4274445510523615	2.3738254083662365	2.21597210455551	2.245716742392792	2.2571596236786906	2.1898083909363577	2.1512831440801445	2.1129690475014877	1.9879587354362689	1.868231983419785	1.7642182508333353	1.7104721480312748	1.6632068518834613	1.6419671011150594	1.6227840728288179	1.702819676551713	1.7775725944423015	1.781974371267404	1.8584465956880925	1.750998672768752	1.8070220677612838	1.7979685198008677	1.8212426385741158	1.792973898990335	1.9043243420461862	1.9144517445992517	1.9171887944643675	1.930097877466732	1.9988870135977084	2.0204513840073126	2.0264320031186402	2.063749587956953	2.091861975697473	2.076866962382161	2.059550551894003	1.9849008740650733	2.005878182151029	2.0107077375844726	2.018353368411384	10.0	13.145354516495173	25.907019358106716	0.26877685344361985	0.22595243818873031	0.2824807141866439	0.2227899941810063	0.21948903229781094	0.30734654589119975	0.20972918815327268	0.7902708118467286	0.314593782229909	2.370812435540186	7.328840608545881E-4	3.462925974880991	4.010967633574136E-4	0.1870237990314913	-0.12166676347702388	7.327431400770495	-15540.247152373031	0.0	24.776310151074256
25000	-15598.8372540339	-60.97521855476645	-15537.862035479135	11.94144207285224	2004.717027872503	65.09302013910258	9.597442966560479	2.757092319463072	2.528623071333681	2.2544980143103537	2.2304594521078887	2.520993499508937	2.324553549324623	2.4471744151234076	2.1264113866410614	1.5914940978998198	1.9573708424319767	1.9656546511287085	1.9127063594477616	2.0991392166489056	2.475433580750632	1.8506231532991926	1.2282713151100046	1.0250453757239546	2.0592579546220233	2.0959854153122084	2.7130965791380945	2.3194182519317783	2.444440747279222	2.1540941394166206	2.024014436221458	2.0260491397637037	2.0708587004533214	2.009933241998022	2.401763784485273	2.664158341001014	2.673412843857133	3.0342306466598474	3.3770148907912176	3.0512380881504635	2.875188561538695	2.3907520502408	1.905206505392262	1.813394460482725	1.8680731698583655	1.9247624360169073	1.9448732904554007	1.5656443045832424	1.543415380733191	1.9740436834652204	2.213805349394861	2.2883744749341743	2.328724438149148	2.291918083881032	2.0335431949933547	1.7572281979336921	2.05472519545251	2.19235373162246	2.710299182584272	2.776225161692193	2.6988406180921993	2.444311179647143	2.4597802868768563	2.5063802263523103	2.3399333326538	2.309686856067028	2.037046957799568	10.0	16.72498347173673	38.57160820011537	0.2701245602332865	0.22553277113981152	0.287428255503152	0.21691441312375043	0.07680025058475269	0.14320987252763803	0.19324795333376976	0.806752046666232	0.28987193000065464	2.420256139998696	1.9377380322609732E-4	0.5965536081317153	2.0916098986068182E-4	0.07474733260089318	-0.1413252070594095	7.240682032087675	-15537.862035479135	0.0	-77.02329800443644
30000	-15602.972028400944	-68.66725899330224	-15534.304769407641	8.736891747326945	2007.921578198028	47.16535962747851	4.510233929473695	2.487088554200395	2.116319468609327	2.212522151175824	1.7583109393383893	2.1712865409484534	2.5593585272112587	2.203002267896952	2.82356142066735	3.298629447738856	3.2865395690555004	3.04101957726502	3.3909567664975717	3.150639404703227	2.115756409492474	0.9531403454882142	1.3121701385374531	1.784009667383215	1.3444982485164392	2.101717704823651	2.0085831683681747	2.135762654285923	2.0572390259391327	2.218369154475727	2.501358829349918	2.488297653891113	2.4497841190765626	2.0740036778117577	2.1973347906352703	1.7345781321150398	1.5648896077196968	2.4817409444095246	2.2877396940018326	1.8200777661064804	1.5681851189767815	1.631157639552061	1.6596571942736487	1.8203516021671529	1.6768879829644654	1.491487453349011	1.0824802306737897	1.4997309195551403	1.5478918824236862	1.9710102203034958	1.9885886917251283	2.302207993507423	2.2728023575259098	2.3313759690075155	2.5284533439561097	2.410212901668108	2.171790528505422	2.366729993629166	2.2801592306466367	1.6050430763008343	1.2722738238848752	2.240759208358718	2.050289298146451	1.9826278230805292	1.6336965913741421	2.5883734367927524	2.4712785360251237	10.0	17.406524060218363	26.778820196169484	0.2736031740102098	0.23308635363978444	0.28033000753880627	0.2129804648111999	0.6752213995491751	0.24164813692618817	0.2322088525177808	0.7677911474822205	0.34831327877667123	2.3033734424466616	4.3725259726959056E-4	2.0794501603983475	3.158844792990869E-4	0.18624575733555165	-0.10329542626195792	6.840967025977634	-15534.304769407641	0.0	-87.26846864889038
35000	-15477.642313838842	61.09299636686029	-15538.735310205702	9.451173008723424	2007.2072969366318	53.699215798479095	709.5874352892291	2.837866370414926	2.7634274255118165	2.761247606605948	2.803432942922384	2.771878849736942	2.7724097459832313	2.8081282102102327	2.7866681817252723	2.7847278087792464	2.7950197175945695	2.7511733214062564	2.746507383931168	2.7302917461363334	2.738282374248995	2.771542757011098	2.7599349416734658	2.7283667483451737	2.764500167091808	2.7042688745341334	2.6501186334287863	2.668184028497133	2.7142157264457665	2.736087367943492	2.7738143957404207	2.6797266840880916	2.6806148454721206	2.632330051321098	2.6193383908420103	2.5732178024022363	2.5741582876255737	2.601422491035083	2.5873414490837194	2.5906221371205493	2.6375454304664507	2.629081350720623	2.5789574262866726	2.554618353965972	2.538196712242009	2.456716781190687	2.4157310924560216	2.3765355176427256	2.3809500405450197	2.431166315417933	2.3459635394845533	2.3765281477622002	2.3667729192097924	2.329768938766824	2.339016910419186	2.3805835826030166	2.401976762439424	2.4037245267014176	2.419136077205483	2.4291023396824714	2.4545519655139616	2.493812139239642	2.5355972959284228	2.489972074995841	2.516055190628944	2.4494760658445243	2.3970940268364416	10.0	14.705023732139717	23.39459253685711	0.25803232495807793	0.23333376516565688	0.28529963605516934	0.2233342738210962	0.8641261623277852	1.18989739186692	0.18084330298923107	0.8191566970107708	0.2712649544838466	2.457470091032312	2.5343207335720935E-4	0.9898769084074439	2.5027889505679874E-4	0.09126799358128225	-0.2659230302939739	7.523580866258436	-15538.735310205702	0.0	43.05252056044466
40000	-15529.214761257694	7.810681865466158	-15537.02544312316	7.996446156372711	2008.6620237889824	40.756105703258264	72.77162194805096	1.977766130606176	2.05049783193435	2.0921407427558774	2.0056185074443675	1.7526879916483162	1.9864846542812071	1.616336475213933	1.585352712354232	1.465341809199083	1.4702241849592186	1.5714158026422158	1.5710682360203085	1.5830187542864054	1.5215428353834946	1.4251524009874403	1.203403147541048	1.2795484534879746	1.3342824661818393	1.4925480165557639	1.4982591920430175	1.4274653390717504	1.4843519818696007	1.5625420722192178	1.6719719176369665	1.689882781048444	1.5781656863897668	1.7336195463465411	1.752506881291403	1.7179084954408217	1.689978998322793	1.6283911211007576	1.528487349439053	1.458861560842961	1.6204881573204655	1.2723890045040505	1.1853758357802306	0.8803016758607394	0.8460032410876827	0.8333053057549863	0.9059077407444316	0.7296413225832352	0.6743451804288123	0.4834217760188268	0.49219029204720177	0.5229660991413501	0.49699426243560224	0.4986583171035975	0.4023137586535877	0.39442003634943384	0.626795424369638	0.6801582327006805	0.4763299946745859	0.4072304456492968	0.4156382055480484	0.3864719682834895	0.3973104848939167	0.5276113329648268	0.5108352735652291	0.43939852836920745	0.44199626419551286	10.0	11.022848078785326	35.55189325921256	0.2692001695529661	0.2348297340512378	0.2785257326383763	0.2174443637574201	0.8757220998613809	1.010735923628071	0.2501948849469929	0.7498051150530091	0.37529232742048935	2.249415345159027	4.4273393396596485E-4	1.447424582016504	3.824363513209483E-4	0.11206960501445133	-0.14322864017951023	7.623339522181009	-15537.02544312316	0.0	-14.277661663566136
45000	-15584.801282937065	-47.64671608911094	-15537.154566847954	10.587251621479645	2006.0712183238754	57.02496181044739	7.447341577486407	3.1473486640991917	3.1538377810667972	3.2443980084990653	3.1761566451016128	2.8110077084186003	2.5538962406757646	2.6238239198142863	2.076229461062118	1.7108241439477498	1.9182609495689829	1.6862464442541574	2.2440150600005806	2.315918355359804	2.0472682910128674	2.017477900735153	2.332329483043464	2.330184522422527	2.15458599449851	2.2341264035511808	1.3676383274232957	2.0424454640700227	2.1350151050062287	2.149954251359806	2.013846945668649	2.278338378446575	2.196943348256483	2.3644058075843475	1.8159280476729833	1.8845193973708694	2.04417667044127	2.2377304636289908	2.190697316030832	1.7273663174540126	1.9642579919230736	2.0171695588184893	1.8983497129340405	1.063270116813905	0.9631178043252048	0.9539583071559326	1.542472614542457	1.8882151070547162	2.1609860445564277	2.5971757459515485	2.6947894975928652	2.7794565865697023	2.626559120244924	2.526503823569284	2.3975710943792152	2.254331218835505	2.1619197208980503	2.090568095141613	2.2351480277722278	2.703884886966433	2.501618449889341	2.112792773330654	1.713914068416133	0.9972436827519853	0.3609427138682429	0.19750270394336775	0.3742499390594332	10.0	14.842631038462036	23.302630164230063	0.2693453150660395	0.23118346789405633	0.2804366707085591	0.21903454633134556	0.07353296856297588	0.17595342569694852	0.17952033195574746	0.820479668044254	0.2692804979336212	2.461439004132762	2.832110988512155E-4	0.29842177024214306	3.0579042222981997E-4	0.030173782641776673	-0.07082206374751218	7.495333841441571	-15537.154566847954	0.0	-77.53072523948683
