tipnames	lat	lon	nuts0_id	nuts1_id
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	45.387051	11.7915896	IT	ITH
NA|23pool1744_23RS1822-82|culex_pipiens|IT|2023-08-03	45.7289954	11.9145706	IT	ITH
NA|23VIR9300|turdus_merula|IT|2023-10-01	45.5215467	10.8379705	IT	ITH
NA|23VIR8795|turdus_merula|IT|2023-08-23	45.6179681	12.4542146	IT	ITH
NA|23pool1901_23RS1909-300|culex_pipiens|IT|2023-08-16	45.3523478	12.0993234	IT	ITH
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	45.3044219	11.1784153	IT	ITH
NA|23pool2138_23RS2497-1|culex_pipiens|IT|2023-11-13	45.3920141	11.5755758	IT	ITH
NA|23VIR8708|columbidae_sp|IT|2023-09-01	45.3705187	11.9204803	IT	ITH
KU573070|216606/2013|culex_pipiens|IT|2013	44.4478787	11.8229725	IT	ITH
KU573071|218200/2013|culex_pipiens|IT|2013	44.9802679	11.9787016	IT	ITH
KU573075|201602-24/2014|culex_pipiens|IT|2014	44.7326319	10.7878059	IT	ITH
JF266698|NA|turdus_merula|IT|2009	41.87194	12.56738	IT	ITI
OQ414983|TV193/2019|culex_pipiens|RO|2019-07	44.535548	26.2324886	RO	RO3
MG888044|NA|culex_pipiens|RS|2014-08	45.2052775	20.294612	RS	RS1
MW533154|E203C/2019/Kosice/SVK|culex_pipiens|SK|2019-07-26	48.7163857	21.2610746	SK	SK0
MN989418|Usutu/Goose/Italy/17917/2018|anatidae__duck_sp_|IT|2018-08-20	42.9200877	13.8360359	IT	ITI
MF063042|AT-N211/16|turdus_merula|AT|2016-09-29	48.1186571	16.6126378	AT	AT1
MF063043|HU-47540/16|turdus_merula|HU|2016-09-26	46.8416936	16.8416322	HU	HU2
JQ219843|NA|cyanistes_caeruleus|AT|2002-08-29	48.00214	16.23091	AT	AT1
KX268471|ITA-055|culex_modestus|IT|2011	41.87194	12.56738	IT	NA
MT784898|NA|turdus_iliacus|IT|2017	41.87194	12.56738	IT	NA
MT784899|NA|turdus_merula|IT|2017	41.87194	12.56738	IT	NA
KX555624|NA|turdus_merula|IT|2010	41.87194	12.56738	IT	NA
KX555626|NA|turdus_merula|IT|2010	41.87194	12.56738	IT	NA
KX555627|NA|turdus_merula|IT|2010	41.87194	12.56738	IT	NA
KX555628|NA|turdus_merula|IT|2010	41.87194	12.56738	IT	NA
KX816647|208576-8/2011|culex_pipiens|IT|2011-08	41.87194	12.56738	IT	NA
KX816649|231247/2011|turdus_merula|IT|2011-09	41.87194	12.56738	IT	NA
KX816650|211984-4/2012|culex_pipiens|IT|2012-08	41.87194	12.56738	IT	NA
KX816651|211204-8/2012|culex_pipiens|IT|2012-08	41.87194	12.56738	IT	NA
KX816652|211204-7/2012|culex_pipiens|IT|2012-08	41.87194	12.56738	IT	NA
OP734245|NA|culex_pipiens|IT|2022-07-01	41.87194	12.56738	IT	NA
MF991886|BD1/17-AT|homo_sapiens|AT|2017-07-24	47.516231	14.550072	AT	NA
KT445930|13-662|culex_modestus|CZ|2013-08-07	49.817492	15.472962	CZ	NA
ON813235|ITA2021_300240|turdus_merula|IT|2021	44.5967607	11.2186396	IT	ITH
ON813236|305920/2021|culex_pipiens|IT|2021	42.1920119	13.7289167	IT	ITF
EF206350|Budapest|turdus_merula|HU|2005	47.497912	19.040235	HU	HU1
PP104383|TE2518012|culex_pipiens|IT|2023-08-02	43.462735	13.3587288	IT	ITI
PP104384|TE2518112|culex_pipiens|IT|2023-09-22	44.5967607	11.2186396	IT	ITH
PP104385|TE2518212|culex_pipiens|IT|2023-09-22	45.7623333	11.690976	IT	ITH
PP104386|TE2518312|culex_pipiens|IT|2023-09-08	44.5967607	11.2186396	IT	ITH
PP104387|TE2518512|sturnus_vulgaris|IT|2023-09-13	42.938004	12.6216211	IT	ITI
PP104388|TE2518612|turdus_merula|IT|2023-09-22	42.938004	12.6216211	IT	ITI
PP104389|TE2518712|culex_pipiens|IT|2023-09-22	44.5967607	11.2186396	IT	ITH
PP104390|TE2518812|columbidae_sp|IT|2023-08-25	45.7623333	11.690976	IT	ITH
PP104391|TE2518912|turdus_merula|IT|2023-09-07	44.5967607	11.2186396	IT	ITH
OR921093|2023TE1639111|culex_pipiens|IT|2023-08-11	44.5967607	11.2186396	IT	ITH
OR921094|2023TE1640011|culex_pipiens|IT|2023-08-11	44.5967607	11.2186396	IT	ITH
OR921095|2023TE1639211|culex_pipiens|IT|2023-08-11	44.5967607	11.2186396	IT	ITH
OR921096|2023TE1822511|turdus_merula|IT|2023-09-07	45.7623333	11.690976	IT	ITH
OR921097|2023TE1640411|culex_pipiens|IT|2023-08-11	44.5967607	11.2186396	IT	ITH
OR921098|2023TE1683511|columba_palumbus|IT|2023-08-23	44.5967607	11.2186396	IT	ITH
