tipnames	collection_regionname	collection_countryname
MN122218|turdus_merula|nl_gr|2018-07-31	western europe	netherlands
MN122224|turdus_merula|nl_ge_er|2018-08-02	western europe	netherlands
MN122225|turdus_merula|nl_zh_rt|2018-08-02	western europe	netherlands
MN122232|turdus_merula|nl_dr_ty|2018-08-07	western europe	netherlands
MN122234|turdus_merula|nl_ov_ra|2018-08-10	western europe	netherlands
MN122238|turdus_merula|nl_ge_bu|2018-08-15	western europe	netherlands
MN122252|turdus_merula|nl_nh_bl|2018-08-30	western europe	netherlands
MT863562|turdus_merula|fr_vn|2018-07-24	western europe	france
MW164665|culex_pipiens|it_ve|2013-08-13	southern europe	italy
MW164684|NA|it_tv|2014-09-02	southern europe	italy
MW164695|turdus_merula|it_tv|2015-09-15	southern europe	italy
MW164748|culex_pipiens|it_tv|2018-07-31	southern europe	italy
MW164769|culex_pipiens|it_pd|2018-07-06	southern europe	italy
OP734247|culex_pipiens|ita|2022-07-29	southern europe	italy
OR573993|branta_ruficollis|nl_li|2017-08-15	western europe	netherlands
PP104390|columbidae_sp|ita|2023-08-25	southern europe	italy
OR757490|culex_pipiens|ita|2023-07-11	southern europe	italy
OR921098|columba_palumbus|ita|2023-08-23	southern europe	italy
OR921105|phoenicurus_phoenicurus|ita|2023-09-08	southern europe	italy
PP104389|culex_pipiens|ita|2023-09-22	southern europe	italy
PP104388|turdus_merula|ita|2023-09-22	southern europe	italy
